Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
0032A00002Oa0FBQAZ,OK,,false,Not Synced
0032A00002Oa0cjQAB,OK,,false,Not Synced
0032A00002OvFZdQAN,Review,,false,Not Synced
0032A00002OvIdtQAF,OK,,false,Not Synced
0032A00002OvKY7QAN,OK,,false,Not Synced
0032A00002OvYtlQAF,OK,,false,Not Synced
0032A00002Ow8HTQAZ,OK,,false,Not Synced
0032A00002OwAo5QAF,Review,,false,Not Synced
0032A00002OxlvyQAB,Review,,false,Not Synced
0032A00002OyLukQAF,Review,,false,Not Synced
0032A00002OyPU2QAN,OK,,false,Not Synced
0032A00002OyYfZQAV,OK,,false,Not Synced
0032A00002OyZ7bQAF,OK,,false,Not Synced
0032A00002Oyan4QAB,OK,,false,Not Synced
0032A00002Oyz1OQAR,OK,,false,Not Synced
0032A00002OyzIKQAZ,OK,,false,Not Synced
0032A00002PTQHoQAP,Delete,No Email,false,Not Synced
0032A00002PTTWIQA5,OK,,false,Not Synced
0032A00002PTUBpQAP,Review,,false,Not Synced
0032A00002PTVORQA5,OK,,false,Not Synced
0032A00002PTVtnQAH,OK,,false,Not Synced
0032A00002PU2p5QAD,Review,,false,Not Synced
0032A00002PU2pPQAT,Review,,false,Not Synced
0032A00002PU4QMQA1,OK,,false,Not Synced
0032A00002PU4XcQAL,OK,,false,Not Synced
0032A00002PUAM6QAP,Review,,false,Not Synced
0032A00002PUMOHQA5,Review,,false,Not Synced
0032A00002PUNu0QAH,Review,,false,Not Synced
0032A00002PVAHRQA5,OK,,false,Not Synced
0032A00002PVAJcQAP,OK,,false,Not Synced
0032A00002PVBvIQAX,OK,,false,Not Synced
0032A00002PVmqZQAT,Review,,false,Not Synced
0032A00002PVmrXQAT,Review,,false,Not Synced
0032A00002PW6KUQA1,Review,,false,Not Synced
0032A00002PWS30QAH,Delete,No Email,false,Not Synced
0032A00002QD2CoQAL,Review,,false,Not Synced
0032A00002QD5QoQAL,Review,,false,Not Synced
0032A00002QD7EGQA1,OK,,false,Not Synced
0032A00002QD7U0QAL,OK,,false,Not Synced
0032A00002QD7lVQAT,Review,,false,Not Synced
0032A00002QDO5BQAX,OK,,false,Not Synced
0032A00002QDmtSQAT,Review,,false,Not Synced
0032A00002QE15UQAT,OK,,false,Not Synced
0032A00002QEFndQAH,OK,,false,Not Synced
0032A00002QEKCbQAP,Review,,false,Not Synced
0032A00002QEwdUQAT,OK,,false,Not Synced
0032A00002QF4dKQAT,OK,,false,Not Synced
0032A00002QFKwVQAX,OK,,false,Not Synced
0032A00002QFNp7QAH,Review,,false,Not Synced
0032A00002QFZHNQA5,OK,,false,Not Synced
0032A00002QFdEYQA1,OK,,false,Not Synced
0032A00002QFtLpQAL,OK,,false,Not Synced
0032A00002QFvsVQAT,Review,,false,Not Synced
0032A00002QFw4qQAD,Review,,false,Not Synced
0032A00002QFxhXQAT,OK,,false,Not Synced
