Id,Sync_Status__c
0032A00002YW9nBQAT,Exists Both Not Linked
0032A00002aOI4gQAG,Exists Both Not Linked
0032A00002ayg9RQAQ,Exists Both Not Linked
0032A00002aygAHQAY,Exists Both Not Linked
0032A00002ayydaQAA,Not Synced
0032A00002ayydnQAA,Not Synced
0032A00002ayyeCQAQ,Not Synced
0032A00002ayyePQAQ,Not Synced
0032A00002ayyfFQAQ,Not Synced
0032A00002ayyfMQAQ,Not Synced
0032A00002ayyfSQAQ,Not Synced
0032A00002ayyfnQAA,Not Synced
0032A00002ayygZQAQ,Not Synced
0032A00002ayygmQAA,Not Synced
0032A00002ayyh6QAA,Not Synced
0032A00002ayyhRQAQ,Not Synced
0032A00002ayyhzQAA,Not Synced
0032A00002ayyiSQAQ,Not Synced
0032A00002ayyidQAA,Not Synced
0032A00002ayyirQAA,Not Synced
0032A00002ayyj6QAA,Not Synced
0032A00002ayyjBQAQ,Not Synced
0032A00002ayyjCQAQ,Not Synced
0032A00002ayyjSQAQ,Not Synced
0032A00002ayykrQAA,Not Synced
0032A00002ayylKQAQ,Not Synced
0032A00002ayylMQAQ,Not Synced
0032A00002ayylvQAA,Not Synced
0032A00002ayylwQAA,Not Synced
0032A00002ayym7QAA,Not Synced
0032A00002ayymCQAQ,Not Synced
0032A00002ayymVQAQ,Not Synced
0032A00002ayymmQAA,Not Synced
0032A00002ayymqQAA,Not Synced
0032A00002ayynLQAQ,Not Synced
0032A00002ayynOQAQ,Not Synced
0032A00002ayynVQAQ,Not Synced
0032A00002ayynpQAA,Not Synced
0032A00002ayynvQAA,Not Synced
0032A00002ayyo4QAA,Not Synced
0032A00002ayyogQAA,Not Synced
0032A00002ayyohQAA,Not Synced
0032A00002ayyopQAA,Not Synced
0032A00002ayyosQAA,Not Synced
0032A00002ayyouQAA,Not Synced
0032A00002ayypRQAQ,Not Synced
0032A00002ayypcQAA,Not Synced
0032A00002ayypfQAA,Not Synced
0032A00002ayyptQAA,Not Synced
0032A00002ayyqPQAQ,Not Synced
0032A00002ayyqhQAA,Not Synced
0032A00002ayyqpQAA,Not Synced
0032A00002ayyrDQAQ,Not Synced
0032A00002ayyriQAA,Not Synced
0032A00002ayyrrQAA,Not Synced
0032A00002ayyruQAA,Not Synced
0032A00002ayys1QAA,Not Synced
0032A00002ayys2QAA,Not Synced
0032A00002ayysBQAQ,Not Synced
0032A00002ayysFQAQ,Not Synced
