Id,Sync_Status__c
0033j000049GfWOAA0,Not Synced
0033j000049GfWPAA0,Not Synced
0033j000049GfWQAA0,Not Synced
0033j000049GfWRAA0,Not Synced
0033j000049GfWSAA0,Not Synced
0033j000049GfWTAA0,Not Synced
0033j000049GfWVAA0,Not Synced
0033j000049GfWWAA0,Not Synced
0033j000049GfWXAA0,Not Synced
0033j000049GfWYAA0,Not Synced
0033j000049GfWZAA0,Not Synced
0033j000049GfWaAAK,Not Synced
0033j000049GfWbAAK,Not Synced
0033j000049GfWcAAK,Not Synced
0033j000049GfWdAAK,Not Synced
0033j000049GfWeAAK,Not Synced
0033j000049GfWfAAK,Not Synced
0033j000049GfWgAAK,Not Synced
0033j000049GfWhAAK,Not Synced
0033j000049GfWiAAK,Not Synced
0033j000049GfWkAAK,Not Synced
0033j000049GfWlAAK,Not Synced
0033j000049GfWmAAK,Not Synced
0033j000049GfWnAAK,Not Synced
0033j000049GfWoAAK,Not Synced
0033j000049GfWpAAK,Not Synced
0033j000049GfWrAAK,Not Synced
0033j000049GfWsAAK,Not Synced
0033j000049GfWtAAK,Not Synced
0033j000049GfWuAAK,Not Synced
0033j000049GfWvAAK,Not Synced
0033j000049GfWwAAK,Not Synced
0033j000049GfWxAAK,Not Synced
0033j000049GfWyAAK,Not Synced
0033j000049GfWzAAK,Not Synced
0033j000049GfX0AAK,Not Synced
0033j000049GfX1AAK,Not Synced
0033j000049GfX4AAK,Not Synced
0033j000049GfX5AAK,Not Synced
0033j000049GfX6AAK,Not Synced
0033j000049GfX7AAK,Not Synced
0033j000049GfX8AAK,Not Synced
0033j000049GfX9AAK,Not Synced
0033j000049GfXAAA0,Not Synced
0033j000049GfXBAA0,Not Synced
0033j000049GfXCAA0,Not Synced
0033j000049GfXDAA0,Not Synced
0033j000049GfXEAA0,Not Synced
0033j000049GfXFAA0,Not Synced
0033j000049GfXGAA0,Not Synced
0033j000049GfXHAA0,Not Synced
0033j000049GfXJAA0,Not Synced
0033j000049GfXKAA0,Not Synced
