Id,Clean_Status__c
0032A00002azp0bQAA,Merge
0032A00002az3qSQAQ,Merge
0032A00002azo5rQAA,Merge
0032A00002azo9ZQAQ,Merge
0032A00002azoNLQAY,Merge
0032A00002azrJtQAI,Merge
0032A00002azqT0QAI,Merge
0032A00002azr9oQAA,Merge
0032A00002azqfqQAA,Merge
0032A00002azpJNQAY,Merge
0032A00002az37uQAA,Merge
0032A00002az3LIQAY,Merge
0032A00002az3YRQAY,Merge
0032A00002azmkpQAA,Merge
0032A00002aznFHQAY,Merge
0032A00002azqV4QAI,Merge
0032A00002azn7pQAA,Merge
0032A00002aznXrQAI,Merge
0032A00002azpHDQAY,Merge
0032A00002aznl1QAA,Merge
0032A00002azpVKQAY,Merge
0032A00002azmn0QAA,Merge
0032A00002aznmxQAA,Merge
0032A00002az36GQAQ,Merge
0032A00002azp7wQAA,Merge
0032A00002az3zoQAA,Merge
0032A00002aznu9QAA,Merge
0032A00002azpoGQAQ,Merge
0032A00002azqp4QAA,Merge
0032A00002azrTcQAI,Merge
0032A00002azroPQAQ,Merge
0032A00002az2ohQAA,Merge
0032A00002az3sQQAQ,Merge
0032A00002azoFYQAY,Merge
0032A00002azpHCQAY,Merge
0032A00002azqOWQAY,Merge
0032A00002azq7pQAA,Merge
0032A00002azqftQAA,Merge
0032A00002az2qCQAQ,Merge
0032A00002azrS5QAI,Merge
0032A00002azp3zQAA,Merge
0032A00002az3dBQAQ,Merge
0032A00002az42dQAA,Merge
0032A00002azoKdQAI,Merge
0032A00002azoU9QAI,Merge
0032A00002azqHNQAY,Merge
0032A00002azrHPQAY,Merge
0032A00002az2tgQAA,Merge
0032A00002azq13QAA,Merge
0032A00002azr6lQAA,Merge
0032A00002az47dQAA,Merge
0032A00002az41KQAQ,Merge
0032A00002az4J8QAI,Merge
0032A00002azqO3QAI,Merge
0032A00002az3aPQAQ,Merge
0032A00002aznALQAY,Merge
0032A00002azqAsQAI,Merge
0032A00002azrMqQAI,Merge
0032A00002az43VQAQ,Merge
0032A00002az4QcQAI,Merge
0032A00002azoakQAA,Merge
