Id,Clean_Status__c
0032A00002az0YsQAI,Merge
0032A00002az180QAA,Merge
0032A00002az1NmQAI,Merge
0032A00002az1hsQAA,Merge
0032A00002az1ynQAA,Merge
0032A00002az3IjQAI,Merge
0032A00002azn9MQAQ,Merge
0032A00002azo00QAA,Merge
0032A00002azouZQAQ,Merge
0032A00002azpHvQAI,Merge
0032A00002azpqeQAA,Merge
0032A00002azroqQAA,Merge
0032A00002azp6QQAQ,Merge
0032A00002ayzfVQAQ,Merge
0032A00002ayzmaQAA,Merge
0032A00002az4OCQAY,Merge
0032A00002aznk3QAA,Merge
0032A00002az2lWQAQ,Merge
0032A00002az34DQAQ,Merge
0032A00002az3UoQAI,Merge
0032A00002az0SdQAI,Merge
0032A00002az3UkQAI,Merge
0032A00002az4KWQAY,Merge
0032A00002az4gXQAQ,Merge
0032A00002azn4hQAA,Merge
0032A00002aznpJQAQ,Merge
0032A00002aznyqQAA,Merge
0032A00002azorSQAQ,Merge
0032A00002az3HHQAY,Merge
0032A00002azr9KQAQ,Merge
0032A00002az14GQAQ,Merge
0032A00002azpzZQAQ,Merge
0032A00002az21vQAA,Merge
0032A00002azn43QAA,Merge
0032A00002azpscQAA,Merge
0032A00002azqbqQAA,Merge
0032A00002azqfOQAQ,Merge
0032A00002ayzVWQAY,Merge
0032A00002az1IXQAY,Merge
0032A00002azqSxQAI,Merge
0032A00002az2jCQAQ,Merge
0032A00002az3KOQAY,Merge
0032A00002az44uQAA,Merge
0032A00002azmIlQAI,Merge
0032A00002az0XOQAY,Merge
0032A00002az0s4QAA,Merge
0032A00002az2BuQAI,Merge
0032A00002az3c6QAA,Merge
0032A00002az3tZQAQ,Merge
0032A00002az47OQAQ,Merge
0032A00002azmstQAA,Merge
0032A00002aznFDQAY,Merge
0032A00002aznoZQAQ,Merge
0032A00002azoQuQAI,Merge
0032A00002azodkQAA,Merge
0032A00002azpCtQAI,Merge
0032A00002azpNLQAY,Merge
0032A00002azpiXQAQ,Merge
0032A00002azqymQAA,Merge
0032A00002azrh6QAA,Merge
0032A00002fCjB1QAK,Merge
0032A00002az2pLQAQ,Merge
0032A00002aznlrQAA,Merge
0032A00002azoqXQAQ,Merge
0032A00002azrEZQAY,Merge
0032A00002ayzTXQAY,Merge
0032A00002az0SiQAI,Merge
0032A00002az0TJQAY,Merge
0032A00002az0YZQAY,Merge
0032A00002az1AtQAI,Merge
0032A00002az1WRQAY,Merge
0032A00002az1yxQAA,Merge
0032A00002az2MLQAY,Merge
0032A00002az2aYQAQ,Merge
0032A00002az3rFQAQ,Merge
0032A00002az4ElQAI,Merge
0032A00002az4DSQAY,Merge
0032A00002azmqRQAQ,Merge
0032A00002azo03QAA,Merge
0032A00002azpFdQAI,Merge
0032A00002azqgNQAQ,Merge
0032A00002azqxpQAA,Merge
0032A00002azrUQQAY,Merge
0032A00002azrYNQAY,Merge
0032A00002ayzUvQAI,Merge
0032A00002az1ePQAQ,Merge
0032A00002az25zQAA,Merge
0032A00002az3hPQAQ,Merge
0032A00002az3hbQAA,Merge
0032A00002az3u1QAA,Merge
0032A00002az4EwQAI,Merge
0032A00002azmbVQAQ,Merge
0032A00002aznbxQAA,Merge
0032A00002azo5aQAA,Merge
0032A00002azpPUQAY,Merge
0032A00002azpUbQAI,Merge
0032A00002azpmsQAA,Merge
0032A00002azqBTQAY,Merge
0032A00002azqDIQAY,Merge
0032A00002azqzSQAQ,Merge
0032A00002azrWbQAI,Merge
0032A00002azozWQAQ,Merge
0032A00002az0PwQAI,Merge
0032A00002az0XBQAY,Merge
0032A00002az0aTQAQ,Merge
0032A00002az1J7QAI,Merge
0032A00002az1UbQAI,Merge
0032A00002az3JJQAY,Merge
0032A00002az41dQAA,Merge
0032A00002azoahQAA,Merge
0032A00002azqTMQAY,Merge
0032A00002az179QAA,Merge
0032A00002azoadQAA,Merge
0032A00002azn78QAA,Merge
0032A00002az1UgQAI,Merge
0032A00002az4J6QAI,Merge
0032A00002azmd9QAA,Merge
0032A00002az0MXQAY,Merge
0032A00002az0ZhQAI,Merge
0032A00002az0wRQAQ,Merge
0032A00002az1uBQAQ,Merge
0032A00002az2FKQAY,Merge
0032A00002az2lrQAA,Merge
0032A00002az3W8QAI,Merge
0032A00002az3vnQAA,Merge
0032A00002az4KAQAY,Merge
0032A00002az4IFQAY,Merge
0032A00002azmZAQAY,Merge
0032A00002azmijQAA,Merge
0032A00002azmxfQAA,Merge
0032A00002aznlkQAA,Merge
0032A00002azoClQAI,Merge
0032A00002azoXsQAI,Merge
0032A00002azp47QAA,Merge
0032A00002azpjSQAQ,Merge
0032A00002azqESQAY,Merge
0032A00002azqG9QAI,Merge
0032A00002azqPoQAI,Merge
0032A00002azr4LQAQ,Merge
0032A00002azrDXQAY,Merge
0032A00002azrdEQAQ,Merge
0032A00002ayzxkQAA,Merge
0032A00002az0RIQAY,Merge
0032A00002az0a4QAA,Merge
0032A00002az1ArQAI,Merge
0032A00002az1KMQAY,Merge
0032A00002az1NKQAY,Merge
0032A00002az1RUQAY,Merge
0032A00002az1phQAA,Merge
0032A00002az217QAA,Merge
0032A00002az2G2QAI,Merge
0032A00002azmJ8QAI,Merge
0032A00002aznTDQAY,Merge
0032A00002azqqFQAQ,Merge
0032A00002ayzmTQAQ,Merge
0032A00002az1lPQAQ,Merge
0032A00002az2ZlQAI,Merge
0032A00002az3lxQAA,Merge
0032A00002az3oaQAA,Merge
0032A00002az3w8QAA,Merge
0032A00002azmvtQAA,Merge
0032A00002azndXQAQ,Merge
0032A00002azo0DQAQ,Merge
0032A00002azpBUQAY,Merge
0032A00002azq2uQAA,Merge
0032A00002azqyXQAQ,Merge
0032A00002azrH9QAI,Merge
0032A00002az1CEQAY,Merge
0032A00002aznuNQAQ,Merge
0032A00002azojMQAQ,Merge
0032A00002ayzSmQAI,Merge
0032A00002az09KQAQ,Merge
0032A00002az0HsQAI,Merge
0032A00002az2DhQAI,Merge
0032A00002az2QeQAI,Merge
0032A00002az3D0QAI,Merge
0032A00002az4NlQAI,Merge
0032A00002azngrQAA,Merge
0032A00002aznhGQAQ,Merge
0032A00002aznkQQAQ,Merge
0032A00002azoIRQAY,Merge
0032A00002azoa2QAA,Merge
0032A00002azpwbQAA,Merge
0032A00002azq30QAA,Merge
0032A00002azqYvQAI,Merge
0032A00002azrFhQAI,Merge
0032A00002azrc3QAA,Merge
0032A00002ayzu5QAA,Merge
0032A00002az0xCQAQ,Merge
0032A00002azrgDQAQ,Merge
0032A00002az4BgQAI,Merge
0032A00002aznYsQAI,Merge
0032A00002az0FvQAI,Merge
0032A00002ayzlVQAQ,Merge
0032A00002az0msQAA,Merge
0032A00002azmnUQAQ,Merge
0032A00002az2MAQAY,Merge
0032A00002azn5pQAA,Merge
0032A00002aznBSQAY,Merge
0032A00002azmbEQAQ,Merge
0032A00002aznnpQAA,Merge
0032A00002az0duQAA,Merge
0032A00002az1FQQAY,Merge
0032A00002azr0GQAQ,Merge
