Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c,Description
0032A00002ayz7lQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz7oQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz7yQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz8HQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz8LQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz8ZQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz8gQAA,Delete,No Email or Phone,false,Not Synced,
0032A00002ayz8jQAA,Delete,Inactive 3+ Years,false,Not Synced,
0032A00002ayz90QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz96QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz9AQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz9DQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz9FQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz9UQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz9cQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz9gQAA,Delete,No Email or Phone,false,Not Synced,
0032A00002ayz9tQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz9zQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzA3QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzA5QAI,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzA6QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzALQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzAMQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzAhQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzAmQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzB1QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzB3QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzBDQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzBHQAY,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzBJQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzBTQAY,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzBXQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzBYQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzBdQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzBjQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzBkQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzBsQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzC4QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzC7QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzCAQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzCIQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzCQQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzCYQAY,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzCbQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzCcQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzChQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzCkQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzCnQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzCvQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzD7QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzDDQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzDQQAY,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzDVQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzDXQAY,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzDhQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzE1QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzE7QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzE8QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzFDQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzFEQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzFHQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzFRQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzFTQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzFhQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzFkQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzFuQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzG5QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzG8QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzGAQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzGBQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzGCQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzGEQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzGOQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzGQQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzGnQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzHHQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzHZQAY,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzHaQAI,Archive,Old Record - Low Activity,false,Not Synced,
0032A00002ayzHeQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzHmQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzHzQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzI0QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzIkQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzItQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzJPQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzJYQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzJkQAI,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzJuQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzK7QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzK8QAI,Archive,Old Record - Low Activity,false,Not Synced,
0032A00002ayzKCQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzKEQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzKQQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzKiQAI,Delete,Inactive 3+ Years,false,Not Synced,
0032A00002ayzKqQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzLBQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzLRQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzLTQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzLgQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzLlQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzMFQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzMHQAY,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzMQQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzMlQAI,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzMsQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzN1QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzN2QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzN4QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzN8QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzNFQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzNUQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzOAQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzOCQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzOvQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzP1QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzPfQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzPtQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzPyQAI,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzQ5QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzQ7QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzQGQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzQHQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzQJQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzQQQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzQRQAY,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzQhQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzQrQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzR0QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzR3QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzRJQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzRcQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzS2QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzSCQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzSTQAY,Delete,Inactive 3+ Years,false,Not Synced,
0032A00002ayzSVQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzSXQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzSZQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzSkQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzT4QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzT7QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzTIQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzTPQAY,Delete,No Activity 3+ Years,false,Not Synced,
