Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c,Description
0032A00002ayzTQQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzTcQAI,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzThQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzTuQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzU9QAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzUCQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzUKQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzUNQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzUUQAY,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzUZQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzUaQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzVRQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzVaQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzVgQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzViQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzVrQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzVtQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzVuQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzWHQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzWIQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzWMQAY,Archive,Old Record - Low Activity,false,Not Synced,
0032A00002ayzWPQAY,Archive,Old Record - Low Activity,false,Not Synced,
0032A00002ayzWUQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzWgQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzWjQAI,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzWlQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzWzQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzXLQAY,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzXPQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzY7QAI,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzYBQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzYCQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzYIQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzYVQAY,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzYjQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzYoQAI,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzZSQAY,OK,,false,Not Synced,
0032A00002ayzZiQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzZsQAI,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzaCQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzaIQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzaKQAQ,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzaNQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzaVQAQ,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzaXQAQ,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzamQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzasQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzatQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzb0QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzb2QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzb7QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzbIQAQ,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzbaQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzbiQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzbtQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzbxQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayzc5QAA,Delete,No Email or Phone,false,Not Synced,
0032A00002ayzcHQAQ,Delete,No Activity 3+ Years,false,Not Synced,
