Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c,Description
0032A00002ayyq5QAA,Duplicate,Master: 0033j00003wPRTwAAO,false,Not Synced,"MERGE_INFO: {""masterId"":""0033j00003wPRTwAAO"",""mergeWith"":[""0033j00003zjDWyAAM"",""0032A00002ayyq5QAA""]}"
0032A00002ayyq6QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyqSQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyqkQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyqqQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyrAQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyrFQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyrGQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyrIQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyrKQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyrSQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyrVQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyrbQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyrmQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyrqQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayys4QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayysjQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayystQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayysuQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyszQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyt3QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyt6QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyt8QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyt9QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayytCQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayytPQAQ,Archive,Old Record - Low Activity,false,Not Synced,
0032A00002ayytRQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayytXQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayytcQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayytoQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyu4QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyuFQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyuIQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyudQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyuhQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyulQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyuuQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyv1QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyv8QAA,Delete,No Activity 3+ Years,false,Not Synced,
