Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
0032A00002ayzpFQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzpNQAQ,Delete,Inactive 3+ Years,false,Not Synced
0032A00002ayzq6QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzqAQAQ,Delete,No Email or Phone,false,Not Synced
0032A00002ayzqUQAQ,Archive,Old Record - Low Activity,false,Not Synced
0032A00002ayzqnQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzqpQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzquQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzrYQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzroQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzrxQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzs2QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzs3QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzs4QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzsPQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0QPQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0QUQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0QXQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0QsQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0R3QAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0RAQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0RCQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0RPQAY,Delete,No Email or Phone,false,Not Synced
0032A00002az0RTQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0RUQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0RwQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0S1QAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0SIQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0SRQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0SUQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0SrQAI,Delete,No Email or Phone,false,Not Synced
0032A00002az0T4QAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0T5QAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0TMQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0TUQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0TsQAI,Delete,No Email or Phone,false,Not Synced
0032A00002az0UBQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0UJQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0UKQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0UdQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0UqQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0UrQAI,Delete,No Email or Phone,false,Not Synced
0032A00002az0UuQAI,Delete,No Email or Phone,false,Not Synced
0032A00002az0VNQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0VQQAY,Delete,No Email or Phone,false,Not Synced
0032A00002az0VoQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0VqQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0VsQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0WAQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0WKQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0WmQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0WuQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0XWQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0XyQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0YEQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0YvQAI,Delete,No Email or Phone,false,Not Synced
0032A00002az0Z4QAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0Z6QAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0ZIQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0ZXQAY,Delete,No Email or Phone,false,Not Synced
0032A00002az0ZnQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0a5QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0aXQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0aZQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0bjQAA,Archive,Old Record - Low Activity,false,Not Synced
0032A00002az0bpQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0cUQAQ,Delete,No Email or Phone,false,Not Synced
0032A00002az0cWQAQ,Delete,No Email or Phone,false,Not Synced
0032A00002az0caQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0ccQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0cdQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0d9QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0dMQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0dRQAQ,Delete,No Activity 3+ Years,false,Not Synced
