Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
0032A00002az1L8QAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1LIQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1LNQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1LWQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1M1QAI,Delete,Inactive 3+ Years,false,Not Synced
0032A00002az1M9QAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1MAQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1MGQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1MbQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1MfQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1NEQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1NVQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1NXQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1O2QAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1OHQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1OqQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1P0QAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1P4QAI,OK,,false,Not Synced
0032A00002az1P7QAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1PIQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1PKQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1PPQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1Q6QAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1Q9QAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1QiQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1QwQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1RTQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1ReQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1RhQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1RiQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1RqQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1RsQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1STQAY,OK,,false,Not Synced
0032A00002az1SYQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1SdQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1SxQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1SzQAI,OK,,false,Not Synced
0032A00002az1T9QAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1TFQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1TJQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1TXQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1UUQAY,Duplicate,Master: 003Rh00000CtCUfIAN,false,Not Synced
0032A00002az1UXQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1UtQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1V3QAI,Delete,No Email or Phone,false,Not Synced
0032A00002az1VHQAY,Delete,No Email or Phone,false,Not Synced
0032A00002az1VrQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1WFQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1WOQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1WQQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1WYQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1WcQAI,Delete,No Email or Phone,false,Not Synced
0032A00002az1WdQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1XIQAY,Archive,Old Record - Low Activity,false,Not Synced
0032A00002az1XwQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1YjQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1YqQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1YrQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1YtQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1Z6QAI,Archive,Old Record - Low Activity,false,Not Synced
0032A00002az1ZBQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1ZEQAY,Delete,Inactive 3+ Years,false,Not Synced
0032A00002az1ZyQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1ZzQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1a7QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1aaQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1aoQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1bJQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1bXQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1bdQAA,Archive,Old Record - Low Activity,false,Not Synced
0032A00002az1bfQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1cKQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1cPQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1cjQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1cnQAA,OK,,false,Not Synced
0032A00002az1cqQAA,Delete,No Email or Phone,false,Not Synced
0032A00002az1d5QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1dBQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1dCQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1dNQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1e9QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1eCQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1eHQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1eWQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1euQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1fjQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1frQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1fyQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1gEQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1gHQAQ,Delete,No Email or Phone,false,Not Synced
0032A00002az1gdQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1ghQAA,Delete,No Email or Phone,false,Not Synced
0032A00002az1guQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1gzQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1h7QAA,Delete,No Email or Phone,false,Not Synced
0032A00002az1hGQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1hRQAQ,Delete,No Email or Phone,false,Not Synced
0032A00002az1hdQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1iKQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1iTQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1idQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1igQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1ioQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1irQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1isQAA,Delete,No Email or Phone,false,Not Synced
0032A00002az1izQAA,Delete,No Email or Phone,false,Not Synced
0032A00002az1jLQAQ,Delete,No Email or Phone,false,Not Synced
0032A00002az1jUQAQ,Archive,Old Record - Low Activity,false,Not Synced
0032A00002az1joQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1jxQAA,Delete,No Email or Phone,false,Not Synced
0032A00002az1k2QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1kJQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1kUQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1kfQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1khQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1krQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1l0QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1l8QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1lBQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1luQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1lzQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1m9QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1mAQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1mfQAA,Delete,No Email or Phone,false,Not Synced
0032A00002az1nKQAQ,Delete,No Email or Phone,false,Not Synced
0032A00002az1ngQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1ohQAA,Delete,No Email or Phone,false,Not Synced
0032A00002az1oiQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1onQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az1ouQAA,Archive,Old Record - Low Activity,false,Not Synced
