file_name,relative_path,type,size_bytes,lines,functions,has_shebang,has_set_e,has_eval,has_bare_except,has_subprocess,has_credentials,has_todo,is_executable,last_modified,category,purpose,dependencies,issues,optimization_potential,priority
smart-retry.sh,smart-retry.sh,shell,12923,407,9,True,True,False,False,False,False,False,True,2025-08-29T16:40:23.710372,error_handling,Intelligent retry system with exponential backoff,,,low,normal
analyze-contract-validation-rules.sh,analyze-contract-validation-rules.sh,shell,12195,362,12,True,True,False,False,False,True,False,True,2025-08-20T21:04:35.201481,validation,Analyze all Contract validation rules for flow compatibility,,potential_credentials,high,critical
diagnostic-toolkit.sh,diagnostic-toolkit.sh,shell,26577,826,24,True,True,False,False,False,False,False,True,2025-08-29T17:17:53.032730,general,Comprehensive Diagnostic Procedures for Salesforce,,,high,high
init-salesforce-instance.sh,init-salesforce-instance.sh,shell,9736,356,0,True,True,False,False,False,True,False,True,2025-08-19T20:17:04.730674,setup,No description found,,potential_credentials,high,critical
safe-soql-query.sh,safe-soql-query.sh,shell,1201,53,0,True,True,False,False,False,False,False,True,2025-08-29T15:07:28.502189,general,No description found,,,low,normal
test-contract-creation-flow.sh,test-contract-creation-flow.sh,shell,23315,598,15,True,True,True,False,False,True,False,True,2025-08-20T21:33:46.510817,testing,Test and debug the Contract Creation Flow end-to-end,,uses_eval|potential_credentials,high,critical
persist-instance-config.sh,persist-instance-config.sh,shell,10122,364,10,True,True,False,False,False,False,False,True,2025-08-21T20:58:04.207476,general,No description found,$env_file|$env_file,,low,normal
agent-auto-resolver.sh,agent-auto-resolver.sh,shell,14565,473,13,True,True,True,False,False,True,False,True,2025-08-29T19:19:28.733650,general,Agent Integration for Automatic Error Resolution,,uses_eval|potential_credentials,high,critical
auto-fix-engine.py,auto-fix-engine.py,python,27367,740,8,True,False,False,True,True,True,False,True,2025-08-29T19:11:56.169029,error_handling,No description found,json|logging|subprocess|os|re|tempfile|shutil|typing|dataclasses|datetime,bare_except|potential_credentials,high,critical
migrate-instances.sh,migrate-instances.sh,shell,9372,324,11,True,True,False,False,False,False,False,True,2025-08-21T21:02:20.439842,general,No description found,$PROJECT_ROOT/.env,,medium,medium
install-mcp-service.sh,install-mcp-service.sh,shell,674,28,0,True,True,False,False,False,False,False,True,2025-08-23T19:43:50.809049,integration,No description found,,,low,normal
claude-dashboard.sh,claude-dashboard.sh,shell,19938,763,15,True,False,False,False,False,True,False,True,2025-08-27T11:05:33.352814,integration,No description found,,missing_set_e|potential_credentials,high,critical
claude-debug-setup.sh,claude-debug-setup.sh,shell,2497,79,0,True,False,False,False,False,False,False,True,2025-08-26T16:38:08.372067,integration,No description found,,missing_set_e,low,normal
test-verification-system.sh,test-verification-system.sh,shell,16344,515,18,True,True,True,False,False,False,False,True,2025-08-29T17:05:10.136235,testing,Complete test suite for verification system,,uses_eval,high,critical
make-executable.sh,make-executable.sh,shell,150,3,0,True,False,False,False,False,False,False,True,2025-08-21T10:48:20.123712,general,No description found,,missing_set_e,low,normal
deploy-revenue-fields.sh,deploy-revenue-fields.sh,shell,8552,275,8,True,True,False,False,False,False,False,True,2025-08-20T12:23:11.980060,deployment,No description found,,,low,normal
make-scripts-executable.sh,make-scripts-executable.sh,shell,500,14,0,True,False,False,False,False,False,False,True,2025-08-20T13:15:48.096799,general,No description found,,missing_set_e,low,normal
soql_helper.py,soql_helper.py,python,29824,796,9,True,False,False,False,False,False,False,True,2025-08-29T15:03:05.977438,general,No description found,json|re|typing|dataclasses|enum|datetime|logging,,medium,medium
test-import-suite.sh,test-import-suite.sh,shell,12834,354,14,True,True,False,False,False,False,False,True,2025-08-29T14:16:23.407011,testing,Comprehensive Test Suite for Import Tools,,,medium,medium
deploy-rollup-solution.sh,deploy-rollup-solution.sh,shell,6863,177,1,True,False,False,False,False,False,False,True,2025-08-20T13:15:42.779867,deployment,No description found,,missing_set_e,low,normal
verify-field-accessibility.sh,verify-field-accessibility.sh,shell,7560,222,1,True,True,True,False,False,False,False,True,2025-08-21T12:54:37.755592,general,No description found,,uses_eval,medium,critical
claude-monitor.sh,claude-monitor.sh,shell,11171,303,8,True,False,False,False,False,False,False,True,2025-08-27T11:07:01.626892,monitoring,Simplified visual CLI for instance management,,missing_set_e,medium,medium
update-verifier.py,update-verifier.py,python,21378,618,4,True,False,False,False,True,True,False,False,2025-08-29T16:53:12.870021,general,No description found,json|subprocess|sys|time|hashlib|pathlib|typing|datetime|logging|sqlite3,potential_credentials,high,critical
run_contract_flow_test.sh,run_contract_flow_test.sh,shell,497,18,0,True,True,False,False,False,False,False,True,2025-08-20T21:33:53.144736,testing,No description found,,,low,normal
pre-import-validator.sh,pre-import-validator.sh,shell,12847,401,8,True,True,True,False,False,False,False,True,2025-08-29T14:11:08.686034,validation,Comprehensive Pre-Import Validation System,,uses_eval,high,critical
run_contract_validation_analysis.sh,run_contract_validation_analysis.sh,shell,528,18,0,True,True,False,False,False,False,False,True,2025-08-20T21:04:40.982397,validation,No description found,,,low,normal
test-auto-fix.sh,test-auto-fix.sh,shell,16403,509,15,True,True,True,False,False,False,False,True,2025-08-29T19:22:20.016071,testing,Comprehensive Test Suite for Auto-Fix System,$AGENT_RESOLVER,uses_eval,high,critical
