Id,Clean_Status__c,Sync_Status__c
0033j000049E5yHAAS,OK,Not Synced
0033j000049E5yIAAS,OK,Not Synced
0033j000049E5yJAAS,OK,Not Synced
0033j000049E5yKAAS,OK,Not Synced
0033j000049E5yLAAS,OK,Not Synced
0033j000049E5yMAAS,OK,Not Synced
0033j000049E5yNAAS,OK,Not Synced
0033j000049E5yOAAS,OK,Not Synced
0033j000049E5yPAAS,OK,Not Synced
0033j000049E5yQAAS,OK,Not Synced
0033j000049E5yRAAS,OK,Not Synced
0033j000049E5ySAAS,OK,Not Synced
0033j000049E5yTAAS,OK,Not Synced
0033j000049E5zVAAS,OK,Not Synced
0033j000049E64kAAC,OK,Not Synced
0033j000049E69uAAC,OK,Not Synced
0033j000049EAULAA4,OK,Not Synced
0033j000049EAUfAAO,OK,Not Synced
0033j000049EB3WAAW,OK,Not Synced
0033j000049EB4KAAW,OK,Not Synced
0033j000049EC4uAAG,OK,Not Synced
0033j000049ELgOAAW,OK,Not Synced
0033j000049ELquAAG,OK,Not Synced
0033j000049ELqvAAG,OK,Not Synced
0033j000049ENQgAAO,OK,Not Synced
0033j000049ENe4AAG,OK,Not Synced
0033j000049ENguAAG,OK,Not Synced
0033j000049EORWAA4,OK,Not Synced
0033j000049EOZyAAO,OK,Not Synced
0033j000049EObVAAW,OK,Not Synced
0033j000049EOeUAAW,OK,Not Synced
0033j000049EOq2AAG,OK,Not Synced
0033j000049EPgHAAW,OK,Not Synced
0033j000049ETPPAA4,OK,Not Synced
0033j000049ETjcAAG,OK,Not Synced
0033j000049ETxcAAG,OK,Not Synced
0033j000049EU4tAAG,OK,Not Synced
0033j000049EU4uAAG,OK,Not Synced
0033j000049EU4vAAG,OK,Not Synced
0033j000049EU4zAAG,OK,Not Synced
0033j000049EU51AAG,OK,Not Synced
0033j000049EU52AAG,OK,Not Synced
0033j000049EU53AAG,OK,Not Synced
0033j000049EUcDAAW,OK,Not Synced
0033j000049EVVcAAO,OK,Not Synced
0033j000049EViMAAW,OK,Not Synced
0033j000049EW8PAAW,OK,Not Synced
0033j000049EWGdAAO,OK,Not Synced
0033j000049EWGnAAO,OK,Not Synced
0033j000049EWPLAA4,OK,Not Synced
0033j000049EYBLAA4,OK,Not Synced
0033j000049EcBGAA0,OK,Not Synced
0033j000049EcNMAA0,OK,Not Synced
0033j000049EcOUAA0,OK,Not Synced
0033j000049EcdyAAC,OK,Not Synced
0033j000049EcgPAAS,OK,Not Synced
0033j000049Eci5AAC,OK,Not Synced
0033j000049EcioAAC,OK,Not Synced
0033j000049EclWAAS,OK,Not Synced
0033j000049EdpWAAS,OK,Not Synced
0033j000049EdspAAC,OK,Not Synced
0033j000049EdwwAAC,OK,Not Synced
0033j000049EdyxAAC,OK,Not Synced
0033j000049Ee0kAAC,OK,Not Synced
0033j000049Eex2AAC,OK,Not Synced
0033j000049EeyAAAS,OK,Not Synced
0033j000049Ef0LAAS,OK,Not Synced
0033j000049Ef1YAAS,OK,Not Synced
0033j000049EiK8AAK,OK,Not Synced
0033j000049EiPdAAK,OK,Not Synced
0033j000049EiPfAAK,OK,Not Synced
0033j000049EiPgAAK,OK,Not Synced
0033j000049EiPhAAK,OK,Not Synced
0033j000049EiPiAAK,OK,Not Synced
0033j000049EiPjAAK,OK,Not Synced
0033j000049EiPkAAK,OK,Not Synced
0033j000049EiPlAAK,OK,Not Synced
0033j000049EiPmAAK,OK,Not Synced
0033j000049EjPbAAK,OK,Not Synced
0033j000049EjhKAAS,OK,Not Synced
0033j000049Ejr0AAC,OK,Not Synced
0033j000049EkDHAA0,OK,Not Synced
0033j000049EkhgAAC,OK,Not Synced
0033j000049EkzbAAC,OK,Not Synced
0033j000049ElHGAA0,OK,Not Synced
0033j000049ElJyAAK,OK,Not Synced
0033j000049ElK2AAK,OK,Not Synced
0033j000049ElK4AAK,OK,Not Synced
0033j000049ElKFAA0,OK,Not Synced
0033j000049ElUiAAK,OK,Not Synced
0033j000049EliZAAS,OK,Not Synced
0033j000049Em9cAAC,OK,Not Synced
0033j000049EmAXAA0,OK,Not Synced
0033j000049EmULAA0,OK,Not Synced
0033j000049EmUaAAK,OK,Not Synced
0033j000049EmVTAA0,OK,Not Synced
0033j000049EnDpAAK,OK,Not Synced
0033j000049EqEoAAK,OK,Not Synced
0033j000049EqZkAAK,OK,Not Synced
0033j000049EqnSAAS,OK,Not Synced
0033j000049Erk5AAC,OK,Not Synced
0033j000049ErlIAAS,OK,Not Synced
0033j000049Ern4AAC,OK,Not Synced
0033j000049ErneAAC,OK,Not Synced
0033j000049EroHAAS,OK,Not Synced
0033j000049EroWAAS,OK,Not Synced
0033j000049ErruAAC,OK,Not Synced
0033j000049ErsxAAC,OK,Not Synced
0033j000049EryWAAS,OK,Not Synced
0033j000049ErzjAAC,OK,Not Synced
0033j000049Es0SAAS,OK,Not Synced
0033j000049Es0hAAC,OK,Not Synced
0033j000049Es1BAAS,OK,Not Synced
0033j000049EsENAA0,OK,Not Synced
0033j000049EsYWAA0,OK,Not Synced
0033j000049EshnAAC,OK,Not Synced
