Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
0032A00002az05wQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az063QAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az06BQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az06OQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az06jQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az06mQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az07NQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az07OQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az07RQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az07gQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az07oQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az089QAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az08OQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az08QQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az08WQAQ,Duplicate,"Master: 0033j00004B1sqgAAB",false,Not Synced
0032A00002az08pQAA,Delete,"No Email or Phone",false,Not Synced
0032A00002az08tQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az08vQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az094QAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az09EQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az09HQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az09MQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az09TQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az09eQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az09qQAA,Delete,"No Email or Phone",false,Not Synced
0032A00002az09tQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0AwQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0BLQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0BRQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0BgQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0BmQAI,Archive,"Old Inactive Contact",false,Not Synced
0032A00002az0BwQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0C8QAI,Delete,"No Email or Phone",false,Not Synced
0032A00002az0CDQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0CeQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0CgQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0CuQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0D6QAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0DFQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0DHQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0DPQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0DdQAI,Delete,"No Email or Phone",false,Not Synced
0032A00002az0DqQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0DxQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0E5QAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0EJQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0EMQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0EmQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0EzQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0F0QAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0FCQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0FbQAI,Delete,"No Email or Phone",false,Not Synced
0032A00002az0FcQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0FgQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0GeQAI,Archive,"Old Inactive Contact",false,Not Synced
0032A00002az0GgQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0GpQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0HGQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0HHQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0HKQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0HTQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0HXQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0HmQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0IGQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0IIQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0INQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0IYQAY,Delete,"No Email or Phone",false,Not Synced
0032A00002az0IbQAI,Archive,"Old Inactive Contact",false,Not Synced
0032A00002az0IjQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0IpQAI,Archive,"Old Inactive Contact",false,Not Synced
0032A00002az0J7QAI,Delete,"No Email or Phone",false,Not Synced
0032A00002az0JBQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0JPQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0JkQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0K3QAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0KeQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0KhQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0KsQAI,Delete,"Inactive 3+ Years",false,Not Synced
0032A00002az0KyQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0L4QAI,Delete,"No Email or Phone",false,Not Synced
0032A00002az0L8QAI,Archive,"Old Inactive Contact",false,Not Synced
0032A00002az0LHQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0LIQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0LiQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0LjQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0LnQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0LqQAI,Delete,"No Email or Phone",false,Not Synced
0032A00002az0LrQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0LsQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0LtQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0M0QAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0M2QAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0MKQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0MQQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0MeQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0MkQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0MqQAI,Delete,"No Email or Phone",false,Not Synced
0032A00002az0MzQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0N7QAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0NAQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0NKQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0O5QAI,Delete,"No Email or Phone",false,Not Synced
0032A00002az0O8QAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0OEQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0OOQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0OrQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0OtQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0PIQAY,Duplicate,"Master: 003Rh00000c44tfIAA",false,Not Synced
0032A00002az0PMQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0PSQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0PUQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0PaQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0PgQAI,Delete,"No Activity 3+ Years",false,Not Synced
