Id,Delete_Reason__c
0032A00002aznbCQAQ,No Activity 3+ Years
0032A00002aznbDQAQ,No Activity 3+ Years
0032A00002aznbEQAQ,No Activity 3+ Years
0032A00002aznbFQAQ,No Activity 3+ Years
0032A00002aznbGQAQ,No Activity 3+ Years
0032A00002aznbJQAQ,No Activity 3+ Years
0032A00002aznbPQAQ,No Activity 3+ Years
0032A00002aznbSQAQ,No Activity 3+ Years
0032A00002aznbZQAQ,No Activity 3+ Years
0032A00002aznbaQAA,No Activity 3+ Years
0032A00002aznbcQAA,No Activity 3+ Years
0032A00002aznbfQAA,No Activity 3+ Years
0032A00002aznbhQAA,No Activity 3+ Years
0032A00002aznbkQAA,No Activity 3+ Years
0032A00002aznbmQAA,No Activity 3+ Years
0032A00002aznbnQAA,No Activity 3+ Years
0032A00002aznboQAA,No Activity 3+ Years
0032A00002aznbsQAA,No Activity 3+ Years
0032A00002aznbuQAA,No Activity 3+ Years
0032A00002aznbvQAA,No Activity 3+ Years
0032A00002aznbxQAA,No Activity 3+ Years
0032A00002aznc0QAA,No Activity 3+ Years
0032A00002aznc1QAA,Inactive 3+ Years
0032A00002aznc2QAA,No Activity 3+ Years
0032A00002aznc3QAA,No Activity 3+ Years
0032A00002aznc6QAA,No Activity 3+ Years
0032A00002aznc7QAA,No Activity 3+ Years
0032A00002azncAQAQ,No Activity 3+ Years
0032A00002azncBQAQ,No Activity 3+ Years
0032A00002azncCQAQ,No Activity 3+ Years
0032A00002azncEQAQ,No Activity 3+ Years
0032A00002azncHQAQ,No Activity 3+ Years
0032A00002azncJQAQ,No Activity 3+ Years
0032A00002azncLQAQ,No Activity 3+ Years
0032A00002azncNQAQ,No Activity 3+ Years
0032A00002azncPQAQ,No Activity 3+ Years
0032A00002azncQQAQ,No Activity 3+ Years
0032A00002azncUQAQ,No Activity 3+ Years
0032A00002azncVQAQ,No Activity 3+ Years
0032A00002azncYQAQ,No Activity 3+ Years
0032A00002azncZQAQ,No Activity 3+ Years
0032A00002azncaQAA,No Activity 3+ Years
0032A00002aznccQAA,No Activity 3+ Years
0032A00002azncdQAA,No Activity 3+ Years
0032A00002aznceQAA,Inactive 3+ Years
0032A00002azncfQAA,No Activity 3+ Years
0032A00002azncnQAA,No Activity 3+ Years
0032A00002azncoQAA,No Activity 3+ Years
0032A00002azncxQAA,No Activity 3+ Years
0032A00002aznd1QAA,No Activity 3+ Years
0032A00002aznd2QAA,No Activity 3+ Years
0032A00002aznd5QAA,Inactive 3+ Years
0032A00002aznd9QAA,No Activity 3+ Years
0032A00002azndGQAQ,No Activity 3+ Years
0032A00002azndHQAQ,No Activity 3+ Years
0032A00002azndIQAQ,No Activity 3+ Years
0032A00002azndKQAQ,No Activity 3+ Years
0032A00002azndPQAQ,No Activity 3+ Years
0032A00002azndSQAQ,No Activity 3+ Years
0032A00002azndWQAQ,No Activity 3+ Years
0032A00002azndXQAQ,No Activity 3+ Years
0032A00002azndcQAA,No Activity 3+ Years
0032A00002azndeQAA,No Activity 3+ Years
0032A00002azndfQAA,No Activity 3+ Years
0032A00002azndmQAA,No Activity 3+ Years
0032A00002azndvQAA,No Activity 3+ Years
0032A00002azndwQAA,No Activity 3+ Years
0032A00002azndxQAA,No Activity 3+ Years
0032A00002azne6QAA,No Activity 3+ Years
0032A00002azneGQAQ,No Activity 3+ Years
0032A00002azneKQAQ,No Activity 3+ Years
0032A00002azneLQAQ,No Activity 3+ Years
0032A00002azneMQAQ,No Activity 3+ Years
0032A00002azneTQAQ,No Activity 3+ Years
0032A00002azneVQAQ,No Activity 3+ Years
0032A00002azneZQAQ,No Activity 3+ Years
0032A00002aznebQAA,No Activity 3+ Years
0032A00002aznedQAA,No Activity 3+ Years
0032A00002azneiQAA,No Activity 3+ Years
0032A00002aznenQAA,No Activity 3+ Years
0032A00002azneqQAA,No Activity 3+ Years
0032A00002azneuQAA,No Activity 3+ Years
0032A00002aznf4QAA,No Activity 3+ Years
0032A00002aznf7QAA,No Activity 3+ Years
0032A00002aznfBQAQ,No Activity 3+ Years
0032A00002aznfCQAQ,No Activity 3+ Years
0032A00002aznfDQAQ,No Activity 3+ Years
0032A00002aznfGQAQ,No Activity 3+ Years
0032A00002aznfIQAQ,No Activity 3+ Years
0032A00002aznfLQAQ,No Activity 3+ Years
0032A00002aznfRQAQ,No Activity 3+ Years
0032A00002aznfTQAQ,No Activity 3+ Years
0032A00002aznfUQAQ,No Activity 3+ Years
0032A00002aznfWQAQ,No Activity 3+ Years
0032A00002aznfXQAQ,No Activity 3+ Years
0032A00002aznfaQAA,No Activity 3+ Years
0032A00002aznfbQAA,No Activity 3+ Years
0032A00002aznffQAA,No Activity 3+ Years
0032A00002aznfhQAA,No Activity 3+ Years
0032A00002aznfpQAA,No Activity 3+ Years
0032A00002aznfsQAA,No Activity 3+ Years
0032A00002aznfvQAA,No Activity 3+ Years
0032A00002azng0QAA,No Activity 3+ Years
0032A00002azng3QAA,No Activity 3+ Years
0032A00002azng4QAA,No Activity 3+ Years
0032A00002azng8QAA,No Activity 3+ Years
0032A00002azngCQAQ,No Activity 3+ Years
0032A00002azngEQAQ,No Activity 3+ Years
0032A00002azngHQAQ,No Activity 3+ Years
0032A00002azngJQAQ,No Activity 3+ Years
0032A00002azngNQAQ,No Activity 3+ Years
0032A00002azngOQAQ,No Activity 3+ Years
0032A00002azngQQAQ,No Activity 3+ Years
0032A00002azngRQAQ,No Activity 3+ Years
0032A00002azngWQAQ,No Activity 3+ Years
0032A00002azngXQAQ,No Activity 3+ Years
0032A00002azngYQAQ,No Activity 3+ Years
0032A00002azngaQAA,No Activity 3+ Years
0032A00002azngfQAA,No Activity 3+ Years
0032A00002aznggQAA,No Activity 3+ Years
0032A00002azngkQAA,No Activity 3+ Years
0032A00002aznglQAA,No Activity 3+ Years
0032A00002azngsQAA,No Activity 3+ Years
0032A00002azngxQAA,No Activity 3+ Years
0032A00002aznh9QAA,No Activity 3+ Years
0032A00002aznhAQAQ,No Activity 3+ Years
0032A00002aznhMQAQ,No Activity 3+ Years
0032A00002aznhNQAQ,No Activity 3+ Years
0032A00002aznhOQAQ,No Activity 3+ Years
0032A00002aznhPQAQ,No Activity 3+ Years
0032A00002aznhTQAQ,No Activity 3+ Years
0032A00002aznhWQAQ,No Activity 3+ Years
0032A00002aznhXQAQ,No Activity 3+ Years
0032A00002aznhaQAA,No Activity 3+ Years
0032A00002aznhcQAA,No Activity 3+ Years
0032A00002aznhfQAA,No Activity 3+ Years
0032A00002aznhlQAA,No Activity 3+ Years
0032A00002aznhvQAA,No Activity 3+ Years
0032A00002aznhwQAA,No Activity 3+ Years
0032A00002aznhxQAA,No Activity 3+ Years
0032A00002aznhyQAA,No Activity 3+ Years
0032A00002azni0QAA,No Activity 3+ Years
0032A00002azniEQAQ,No Activity 3+ Years
0032A00002azniGQAQ,No Activity 3+ Years
0032A00002azniJQAQ,No Activity 3+ Years
0032A00002azniLQAQ,No Activity 3+ Years
0032A00002azniNQAQ,No Activity 3+ Years
0032A00002azniOQAQ,No Activity 3+ Years
0032A00002azniPQAQ,No Activity 3+ Years
0032A00002azniTQAQ,No Activity 3+ Years
0032A00002azniUQAQ,No Activity 3+ Years
0032A00002azniYQAQ,No Activity 3+ Years
0032A00002aznibQAA,No Activity 3+ Years
0032A00002aznilQAA,No Activity 3+ Years
0032A00002aznimQAA,No Activity 3+ Years
0032A00002aznioQAA,No Activity 3+ Years
0032A00002aznipQAA,No Activity 3+ Years
0032A00002aznirQAA,No Activity 3+ Years
0032A00002aznj1QAA,No Activity 3+ Years
0032A00002aznj3QAA,No Activity 3+ Years
0032A00002aznj5QAA,No Activity 3+ Years
0032A00002aznj6QAA,No Activity 3+ Years
0032A00002aznj9QAA,No Activity 3+ Years
0032A00002aznjCQAQ,No Activity 3+ Years
0032A00002aznjDQAQ,No Activity 3+ Years
0032A00002aznjIQAQ,No Activity 3+ Years
0032A00002aznjLQAQ,No Activity 3+ Years
0032A00002aznjMQAQ,No Activity 3+ Years
0032A00002aznjOQAQ,No Activity 3+ Years
0032A00002aznjPQAQ,No Activity 3+ Years
0032A00002aznjUQAQ,No Activity 3+ Years
0032A00002aznjYQAQ,No Activity 3+ Years
0032A00002aznjcQAA,No Activity 3+ Years
0032A00002aznjdQAA,No Activity 3+ Years
0032A00002aznjeQAA,No Activity 3+ Years
0032A00002aznjhQAA,No Activity 3+ Years
0032A00002aznjkQAA,No Activity 3+ Years
0032A00002aznjoQAA,No Activity 3+ Years
0032A00002aznjqQAA,No Activity 3+ Years
0032A00002aznjxQAA,No Activity 3+ Years
0032A00002aznjyQAA,No Activity 3+ Years
0032A00002aznjzQAA,No Activity 3+ Years
0032A00002aznk1QAA,No Activity 3+ Years
0032A00002aznk2QAA,No Activity 3+ Years
0032A00002aznk3QAA,No Activity 3+ Years
0032A00002aznk4QAA,No Activity 3+ Years
0032A00002aznk8QAA,No Activity 3+ Years
0032A00002aznk9QAA,No Activity 3+ Years
0032A00002aznkAQAQ,No Activity 3+ Years
0032A00002aznkPQAQ,No Activity 3+ Years
0032A00002aznkTQAQ,No Activity 3+ Years
0032A00002aznkUQAQ,No Activity 3+ Years
0032A00002aznkVQAQ,No Activity 3+ Years
0032A00002aznkbQAA,No Activity 3+ Years
0032A00002aznkeQAA,No Activity 3+ Years
0032A00002aznkfQAA,No Activity 3+ Years
0032A00002aznkpQAA,No Activity 3+ Years
0032A00002aznkrQAA,No Activity 3+ Years
0032A00002aznkvQAA,No Activity 3+ Years
0032A00002aznkwQAA,No Activity 3+ Years
0032A00002aznkxQAA,No Activity 3+ Years
0032A00002aznl1QAA,No Activity 3+ Years
0032A00002aznl2QAA,No Activity 3+ Years
0032A00002aznl4QAA,No Activity 3+ Years
0032A00002aznl8QAA,No Activity 3+ Years
0032A00002aznlDQAQ,No Activity 3+ Years
0032A00002aznlEQAQ,No Activity 3+ Years
0032A00002aznlJQAQ,No Activity 3+ Years
0032A00002aznlKQAQ,No Activity 3+ Years
0032A00002aznlRQAQ,No Activity 3+ Years
0032A00002aznlSQAQ,No Activity 3+ Years
0032A00002aznlVQAQ,No Activity 3+ Years
0032A00002aznlWQAQ,No Activity 3+ Years
0032A00002aznlXQAQ,No Activity 3+ Years
0032A00002aznlYQAQ,No Activity 3+ Years
0032A00002aznlaQAA,Inactive 3+ Years
0032A00002aznlcQAA,No Activity 3+ Years
0032A00002aznldQAA,No Activity 3+ Years
0032A00002aznleQAA,No Activity 3+ Years
0032A00002aznlhQAA,No Activity 3+ Years
0032A00002aznllQAA,No Activity 3+ Years
0032A00002aznlqQAA,No Activity 3+ Years
0032A00002aznltQAA,No Activity 3+ Years
0032A00002aznluQAA,No Activity 3+ Years
0032A00002aznlxQAA,No Activity 3+ Years
0032A00002aznlyQAA,No Activity 3+ Years
0032A00002aznlzQAA,No Activity 3+ Years
0032A00002aznm2QAA,No Activity 3+ Years
0032A00002aznm4QAA,No Activity 3+ Years
0032A00002aznm8QAA,No Activity 3+ Years
0032A00002aznmAQAQ,No Activity 3+ Years
0032A00002aznmCQAQ,No Activity 3+ Years
0032A00002aznmDQAQ,No Activity 3+ Years
0032A00002aznmKQAQ,No Activity 3+ Years
0032A00002aznmMQAQ,No Activity 3+ Years
0032A00002aznmPQAQ,No Activity 3+ Years
0032A00002aznmTQAQ,No Activity 3+ Years
0032A00002aznmVQAQ,No Activity 3+ Years
0032A00002aznmWQAQ,No Activity 3+ Years
0032A00002aznmYQAQ,No Activity 3+ Years
0032A00002aznmbQAA,No Activity 3+ Years
0032A00002aznmcQAA,No Activity 3+ Years
0032A00002aznmfQAA,No Activity 3+ Years
0032A00002aznmgQAA,No Activity 3+ Years
0032A00002aznmlQAA,No Activity 3+ Years
0032A00002aznmqQAA,No Activity 3+ Years
0032A00002aznmsQAA,No Activity 3+ Years
0032A00002aznmvQAA,No Activity 3+ Years
0032A00002aznmxQAA,No Activity 3+ Years
0032A00002aznmyQAA,No Activity 3+ Years
0032A00002aznn0QAA,No Activity 3+ Years
0032A00002aznn1QAA,No Activity 3+ Years
