Id,Delete_Reason__c
0033j00003gTrnPAAS,No Activity 3+ Years
0033j00003gTrnQAAS,No Activity 3+ Years
0033j00003gTrnRAAS,No Activity 3+ Years
0033j00003gTrnSAAS,No Activity 3+ Years
0033j00003gTrnXAAS,No Activity 3+ Years
0033j00003gTrnZAAS,No Activity 3+ Years
0033j00003gTrncAAC,No Activity 3+ Years
0033j00003gTrneAAC,No Activity 3+ Years
0033j00003gTrnfAAC,No Activity 3+ Years
0033j00003gTrngAAC,No Activity 3+ Years
0033j00003gTrnhAAC,No Activity 3+ Years
0033j00003gTrniAAC,No Activity 3+ Years
0033j00003gTrnnAAC,No Activity 3+ Years
0033j00003gTrnpAAC,No Activity 3+ Years
0033j00003gTrnqAAC,No Activity 3+ Years
0033j00003gTrnvAAC,No Activity 3+ Years
0033j00003gTrnzAAC,No Activity 3+ Years
0033j00003gTro2AAC,No Activity 3+ Years
0033j00003gTro3AAC,No Activity 3+ Years
0033j00003gTro4AAC,No Activity 3+ Years
0033j00003gTro6AAC,No Activity 3+ Years
0033j00003gTro7AAC,No Activity 3+ Years
0033j00003gTro8AAC,No Activity 3+ Years
0033j00003gTro9AAC,No Activity 3+ Years
0033j00003gTroBAAS,No Activity 3+ Years
0033j00003gTroEAAS,No Activity 3+ Years
0033j00003gTroFAAS,No Activity 3+ Years
0033j00003gTroGAAS,No Activity 3+ Years
0033j00003gTroIAAS,No Activity 3+ Years
0033j00003gTroJAAS,No Activity 3+ Years
0033j00003gTroKAAS,No Activity 3+ Years
0033j00003gTroMAAS,No Activity 3+ Years
0033j00003gTroNAAS,No Activity 3+ Years
0033j00003gTroOAAS,No Activity 3+ Years
0033j00003gTroPAAS,No Activity 3+ Years
0033j00003gTroSAAS,No Activity 3+ Years
0033j00003gTroVAAS,No Activity 3+ Years
0033j00003gTroWAAS,No Activity 3+ Years
0033j00003gTroXAAS,No Activity 3+ Years
0033j00003gTroYAAS,No Activity 3+ Years
0033j00003gTroZAAS,No Activity 3+ Years
0033j00003gTroaAAC,No Activity 3+ Years
0033j00003gTrobAAC,No Activity 3+ Years
0033j00003gTrodAAC,No Activity 3+ Years
0033j00003gTrofAAC,No Activity 3+ Years
0033j00003gTrogAAC,No Activity 3+ Years
0033j00003gTroiAAC,No Activity 3+ Years
0033j00003gTrojAAC,No Activity 3+ Years
0033j00003gTrokAAC,No Activity 3+ Years
0033j00003gTromAAC,No Activity 3+ Years
0033j00003gTronAAC,No Activity 3+ Years
0033j00003gTrooAAC,No Activity 3+ Years
0033j00003gTroqAAC,No Activity 3+ Years
0033j00003gTrotAAC,No Activity 3+ Years
0033j00003gTrouAAC,No Activity 3+ Years
0033j00003gTroyAAC,No Activity 3+ Years
0033j00003gTrp0AAC,No Activity 3+ Years
0033j00003gTrp1AAC,No Activity 3+ Years
0033j00003gTrp3AAC,No Activity 3+ Years
0033j00003gTrp4AAC,No Activity 3+ Years
0033j00003gTrp5AAC,No Activity 3+ Years
0033j00003gTrp6AAC,No Activity 3+ Years
0033j00003gTrp7AAC,No Activity 3+ Years
0033j00003gTrpBAAS,No Activity 3+ Years
0033j00003gTrpFAAS,No Activity 3+ Years
0033j00003gTrpGAAS,No Activity 3+ Years
0033j00003gTrpJAAS,No Activity 3+ Years
0033j00003gTrpKAAS,No Activity 3+ Years
0033j00003gTrpMAAS,No Activity 3+ Years
0033j00003gTrpNAAS,No Activity 3+ Years
0033j00003gTrpPAAS,No Activity 3+ Years
0033j00003gTrpQAAS,No Activity 3+ Years
0033j00003gTrpRAAS,No Activity 3+ Years
0033j00003gTrpSAAS,No Activity 3+ Years
0033j00003gTrpVAAS,No Activity 3+ Years
0033j00003gTrpYAAS,No Activity 3+ Years
0033j00003gTrpaAAC,No Activity 3+ Years
0033j00003gTrpcAAC,No Activity 3+ Years
0033j00003gTrpdAAC,No Activity 3+ Years
0033j00003gTrpeAAC,No Activity 3+ Years
0033j00003gTrphAAC,No Activity 3+ Years
0033j00003gTrpjAAC,No Activity 3+ Years
0033j00003gTrsbAAC,No Activity 3+ Years
0033j00003gTrseAAC,No Activity 3+ Years
0033j00003gTrsfAAC,No Activity 3+ Years
0033j00003gTrshAAC,No Activity 3+ Years
0033j00003gTrsiAAC,No Activity 3+ Years
0033j00003gTrsmAAC,No Activity 3+ Years
0033j00003gTrsoAAC,No Activity 3+ Years
0033j00003gTrspAAC,No Activity 3+ Years
