"sf__Id","sf__Created",Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
"0032A00002az01jQAA","false","0032A00002az01jQAA","Delete","Inactive 3+ Years","false","Not Synced"
"0032A00002az01kQAA","false","0032A00002az01kQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az01mQAA","false","0032A00002az01mQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az01tQAA","false","0032A00002az01tQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az029QAA","false","0032A00002az029QAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az02MQAQ","false","0032A00002az02MQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az02PQAQ","false","0032A00002az02PQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az02XQAQ","false","0032A00002az02XQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az02dQAA","false","0032A00002az02dQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az02yQAA","false","0032A00002az02yQAA","Delete","No Email or Phone","false","Not Synced"
"0032A00002az03BQAQ","false","0032A00002az03BQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az03CQAQ","false","0032A00002az03CQAQ","Delete","No Email or Phone","false","Not Synced"
"0032A00002az03HQAQ","false","0032A00002az03HQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az03LQAQ","false","0032A00002az03LQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az03MQAQ","false","0032A00002az03MQAQ","Duplicate","Master: 0033j00003wOZOlAAO","false","Not Synced"
"0032A00002az03cQAA","false","0032A00002az03cQAA","Delete","No Email or Phone","false","Not Synced"
"0032A00002az03iQAA","false","0032A00002az03iQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az03sQAA","false","0032A00002az03sQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az03zQAA","false","0032A00002az03zQAA","Delete","No Email or Phone","false","Not Synced"
"0032A00002az042QAA","false","0032A00002az042QAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az04fQAA","false","0032A00002az04fQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az04xQAA","false","0032A00002az04xQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az050QAA","false","0032A00002az050QAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az05DQAQ","false","0032A00002az05DQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az05RQAQ","false","0032A00002az05RQAQ","Archive","Old Inactive Contact","false","Not Synced"
"0032A00002az05tQAA","false","0032A00002az05tQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az05vQAA","false","0032A00002az05vQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az05wQAA","false","0032A00002az05wQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az063QAA","false","0032A00002az063QAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az06BQAQ","false","0032A00002az06BQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az06OQAQ","false","0032A00002az06OQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az06jQAA","false","0032A00002az06jQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az06mQAA","false","0032A00002az06mQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az07NQAQ","false","0032A00002az07NQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az07OQAQ","false","0032A00002az07OQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az07RQAQ","false","0032A00002az07RQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az07gQAA","false","0032A00002az07gQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az07oQAA","false","0032A00002az07oQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az089QAA","false","0032A00002az089QAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az08OQAQ","false","0032A00002az08OQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az08QQAQ","false","0032A00002az08QQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az08WQAQ","false","0032A00002az08WQAQ","Duplicate","Master: 0033j00004B1sqgAAB","false","Not Synced"
"0032A00002az08pQAA","false","0032A00002az08pQAA","Delete","No Email or Phone","false","Not Synced"
"0032A00002az08tQAA","false","0032A00002az08tQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az08vQAA","false","0032A00002az08vQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az094QAA","false","0032A00002az094QAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az09EQAQ","false","0032A00002az09EQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az09HQAQ","false","0032A00002az09HQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az09MQAQ","false","0032A00002az09MQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az09TQAQ","false","0032A00002az09TQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az09eQAA","false","0032A00002az09eQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az09qQAA","false","0032A00002az09qQAA","Delete","No Email or Phone","false","Not Synced"
"0032A00002az09tQAA","false","0032A00002az09tQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0AwQAI","false","0032A00002az0AwQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0BLQAY","false","0032A00002az0BLQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0BRQAY","false","0032A00002az0BRQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0BgQAI","false","0032A00002az0BgQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0BmQAI","false","0032A00002az0BmQAI","Archive","Old Inactive Contact","false","Not Synced"
"0032A00002az0BwQAI","false","0032A00002az0BwQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0C8QAI","false","0032A00002az0C8QAI","Delete","No Email or Phone","false","Not Synced"
"0032A00002az0CDQAY","false","0032A00002az0CDQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0CeQAI","false","0032A00002az0CeQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0CgQAI","false","0032A00002az0CgQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0CuQAI","false","0032A00002az0CuQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0D6QAI","false","0032A00002az0D6QAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0DFQAY","false","0032A00002az0DFQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0DHQAY","false","0032A00002az0DHQAY","Delete","No Activity 3+ Years","false","Not Synced"
