"sf__Id","sf__Error",Id,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
"0032A00002az2e1QAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002az2e1QAA","true","In HubSpot - Not Synced"
"0032A00002az2hvQAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002az2hvQAA","true","In HubSpot - Not Synced"
"0032A00002az2lyQAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002az2lyQAA","true","In HubSpot - Not Synced"
"0032A00002az2qdQAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002az2qdQAA","true","In HubSpot - Not Synced"
"0032A00002az2qyQAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002az2qyQAA","true","In HubSpot - Not Synced"
"0032A00002az2ykQAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002az2ykQAA","true","In HubSpot - Not Synced"
"0032A00002az34ZQAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002az34ZQAQ","true","In HubSpot - Not Synced"
"0032A00002az3AxQAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002az3AxQAI","true","In HubSpot - Not Synced"
"0032A00002az3OzQAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002az3OzQAI","true","In HubSpot - Not Synced"
"0032A00002az3PTQAY","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002az3PTQAY","true","In HubSpot - Not Synced"
"0032A00002az3c6QAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002az3c6QAA","true","In HubSpot - Not Synced"
"0032A00002az3hJQAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002az3hJQAQ","true","In HubSpot - Not Synced"
"0032A00002az3qmQAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002az3qmQAA","true","In HubSpot - Not Synced"
"0032A00002az40kQAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002az40kQAA","true","In HubSpot - Not Synced"
"0032A00002az43mQAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002az43mQAA","true","In HubSpot - Not Synced"
"0032A00002az4VVQAY","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002az4VVQAY","true","In HubSpot - Not Synced"
"0032A00002azmPFQAY","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azmPFQAY","true","In HubSpot - Not Synced"
"0032A00002azmlrQAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azmlrQAA","true","In HubSpot - Not Synced"
"0032A00002azn2TQAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azn2TQAQ","true","In HubSpot - Not Synced"
"0032A00002aznNaQAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002aznNaQAI","true","In HubSpot - Not Synced"
"0032A00002aznU9QAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002aznU9QAI","true","In HubSpot - Not Synced"
"0032A00002aznaVQAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002aznaVQAQ","true","In HubSpot - Not Synced"
"0032A00002aznsCQAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002aznsCQAQ","true","In HubSpot - Not Synced"
"0032A00002azo2VQAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azo2VQAQ","true","In HubSpot - Not Synced"
"0032A00002azo57QAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azo57QAA","true","In HubSpot - Not Synced"
"0032A00002azoD7QAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azoD7QAI","true","In HubSpot - Not Synced"
"0032A00002azoLlQAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azoLlQAI","true","In HubSpot - Not Synced"
"0032A00002azoQ7QAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azoQ7QAI","true","In HubSpot - Not Synced"
"0032A00002azocUQAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azocUQAQ","true","In HubSpot - Not Synced"
"0032A00002azoi5QAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azoi5QAA","true","In HubSpot - Not Synced"
"0032A00002azoqIQAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azoqIQAQ","true","In HubSpot - Not Synced"
"0032A00002azotaQAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azotaQAA","true","In HubSpot - Not Synced"
"0032A00002azozQQAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azozQQAQ","true","In HubSpot - Not Synced"
"0032A00002azp7cQAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azp7cQAA","true","In HubSpot - Not Synced"
"0032A00002azpCjQAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azpCjQAI","true","In HubSpot - Not Synced"
"0032A00002azpKAQAY","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azpKAQAY","true","In HubSpot - Not Synced"
"0032A00002azpQHQAY","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azpQHQAY","true","In HubSpot - Not Synced"
"0032A00002azpXCQAY","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azpXCQAY","true","In HubSpot - Not Synced"
"0032A00002azpaIQAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azpaIQAQ","true","In HubSpot - Not Synced"
"0032A00002azpcCQAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azpcCQAQ","true","In HubSpot - Not Synced"
"0032A00002azpjvQAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azpjvQAA","true","In HubSpot - Not Synced"
"0032A00002azpnPQAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azpnPQAQ","true","In HubSpot - Not Synced"
"0032A00002azpvQQAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azpvQQAQ","true","In HubSpot - Not Synced"
"0032A00002azq1NQAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azq1NQAQ","true","In HubSpot - Not Synced"
"0032A00002azqBJQAY","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azqBJQAY","true","In HubSpot - Not Synced"
"0032A00002azqBcQAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azqBcQAI","true","In HubSpot - Not Synced"
"0032A00002azqCXQAY","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azqCXQAY","true","In HubSpot - Not Synced"
"0032A00002azqRPQAY","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azqRPQAY","true","In HubSpot - Not Synced"
"0032A00002azqf5QAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azqf5QAA","true","In HubSpot - Not Synced"
"0032A00002azqq2QAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azqq2QAA","true","In HubSpot - Not Synced"
"0032A00002azqvcQAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azqvcQAA","true","In HubSpot - Not Synced"
"0032A00002azr5GQAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azr5GQAQ","true","In HubSpot - Not Synced"
"0032A00002azr5rQAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azr5rQAA","true","In HubSpot - Not Synced"
"0032A00002azrEvQAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azrEvQAI","true","In HubSpot - Not Synced"
"0032A00002azrQ4QAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azrQ4QAI","true","In HubSpot - Not Synced"
"0032A00002azrnEQAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002azrnEQAQ","true","In HubSpot - Not Synced"
"0032A00002omjLcQAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002omjLcQAI","true","In HubSpot - Not Synced"
"0032A00002vZ20wQAC","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002vZ20wQAC","true","In HubSpot - Not Synced"
