"sf__Id","sf__Error",Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
"0033j0000419rxEAAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j0000419rxEAAQ","Duplicate","Master: 0032A00002azq3yQAA","false","Not Synced"
"0033j000041Ame0AAC","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000041Ame0AAC","Duplicate","Master: 003Rh000002TicCIAS","false","Not Synced"
"0033j000041CAFWAA4","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: 2025-09-20T18:41:52.000+0000:Sync_Status__c --","0033j000041CAFWAA4","OK","","false","2025-09-20T18:41:52.000+0000"
"0033j000041CAHGAA4","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000041CAHGAA4","Duplicate","Master: 0033j000049Ggo4AAC","false","Not Synced"
"0033j000041CALIAA4","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: 2023-03-16T17:43:47.000+0000:Sync_Status__c --","0033j000041CALIAA4","OK","","false","2023-03-16T17:43:47.000+0000"
"0033j000041CALfAAO","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: 2025-09-20T18:41:57.000+0000:Sync_Status__c --","0033j000041CALfAAO","OK","","false","2025-09-20T18:41:57.000+0000"
"0033j000042vQeMAAU","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000042vQeMAAU","Duplicate","Master: 0033j00003wObhQAAS","false","Not Synced"
"0033j000042vVnkAAE","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000042vVnkAAE","Duplicate","Master: 0033j000042vVnfAAE","false","Not Synced"
"0033j000042viZmAAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000042viZmAAI","Duplicate","Master: 0033j00003wPDsQAAW","false","Not Synced"
"0033j000042vyKzAAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000042vyKzAAI","Duplicate","Master: 003Rh00000Eqt1QIAR","false","Not Synced"
"0033j000042wTpKAAU","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000042wTpKAAU","Duplicate","Master: 0033j000042wTY2AAM","false","Not Synced"
"0033j000042woE8AAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000042woE8AAI","Duplicate","Master: 0032A00002ayzpXQAQ","false","Not Synced"
"0033j000042x1vXAAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000042x1vXAAQ","Duplicate","Master: 0033j000042x1vWAAQ","false","Not Synced"
"0033j000042xBohAAE","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000042xBohAAE","Duplicate","Master: 0033j00003wP1hSAAS","false","Not Synced"
"0033j000042xhJQAAY","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000042xhJQAAY","Duplicate","Master: 0032A00002Z41UnQAJ","false","Not Synced"
"0033j000044N0bCAAS","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000044N0bCAAS","Duplicate","Master: 0033j000045qD1oAAE","false","Not Synced"
"0033j000045pGpbAAE","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000045pGpbAAE","Duplicate","Master: 0033j00003wOsIbAAK","false","Not Synced"
"0033j000045pGpcAAE","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000045pGpcAAE","Duplicate","Master: 0033j000045pGpdAAE","false","Not Synced"
"0033j000045pO3BAAU","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000045pO3BAAU","Duplicate","Master: 0033j000045pO36AAE","false","Not Synced"
"0033j000045pR9iAAE","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000045pR9iAAE","Duplicate","Master: 003Rh000001CMsJIAW","false","Not Synced"
"0033j000045poeGAAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000045poeGAAQ","Duplicate","Master: 003Rh00000Eqt4GIAR","false","Not Synced"
"0033j000045qeM0AAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000045qeM0AAI","Duplicate","Master: 0033j000045qeLzAAI","false","Not Synced"
"0033j000045qeM1AAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000045qeM1AAI","Duplicate","Master: 0033j000045qeLzAAI","false","Not Synced"
"0033j000045qeM2AAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000045qeM2AAI","Duplicate","Master: 0033j000045qeLzAAI","false","Not Synced"
"0033j000045qkJqAAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000045qkJqAAI","Duplicate","Master: 0032A00002ayzi3QAA","false","Not Synced"
"0033j000045r2ZtAAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000045r2ZtAAI","Duplicate","Master: 0032A00002az1C6QAI","false","Not Synced"
"0033j000045r82eAAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: 2023-02-15T16:50:54.000+0000:Sync_Status__c --","0033j000045r82eAAA","OK","","false","2023-02-15T16:50:54.000+0000"
"0033j000045ramgAAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000045ramgAAA","Duplicate","Master: 0033j00003wPBgPAAW","false","Not Synced"
"0033j000045ranMAAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000045ranMAAQ","Duplicate","Master: 0033j00002OE6ZpAAL","false","Not Synced"
"0033j0000477033AAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j0000477033AAA","Duplicate","Master: 0033j00003wOdiQAAS","false","Not Synced"
"0033j0000477Tz5AAE","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j0000477Tz5AAE","Duplicate","Master: 0033j00003vwQcnAAE","false","Not Synced"
"0033j000047EJlCAAW","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047EJlCAAW","Duplicate","Master: 0033j00003wObIuAAK","false","Not Synced"
"0033j000047EP20AAG","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047EP20AAG","Duplicate","Master: 0032A00002azplKQAQ","false","Not Synced"
"0033j000047YcrSAAS","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047YcrSAAS","Duplicate","Master: 0033j000047YcqtAAC","false","Not Synced"
"0033j000047YcrgAAC","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047YcrgAAC","Duplicate","Master: 0033j000047YcrxAAC","false","Not Synced"
"0033j000047Z630AAC","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047Z630AAC","Duplicate","Master: 0033j000047Z637AAC","false","Not Synced"
"0033j000047Z6CqAAK","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047Z6CqAAK","Duplicate","Master: 0033j000047Z6FBAA0","false","Not Synced"
"0033j000047Z6D0AAK","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047Z6D0AAK","Duplicate","Master: 0033j000047Z6IIAA0","false","Not Synced"
"0033j000047Z6FxAAK","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047Z6FxAAK","Duplicate","Master: 0033j000047Z6FyAAK","false","Not Synced"
"0033j000047Z6IQAA0","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047Z6IQAA0","Duplicate","Master: 0033j000047Z6GjAAK","false","Not Synced"
"0033j000047Z6IWAA0","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047Z6IWAA0","Duplicate","Master: 0033j000047Z6IIAA0","false","Not Synced"
