Id,Merge_Candidates__c
0032A00002az3qdQAA,0032A00002azoa0QAA
0032A00002az0F4QAI,0032A00002a2dSFQAY
0032A00002az1lWQAQ,0032A00002a2dSFQAY
0032A00002az4IIQAY,0032A00002a2dSFQAY
0032A00002azofwQAA,0032A00002a2dSFQAY
0032A00002azpzPQAQ,0032A00002a2dSFQAY
0032A00002az3XyQAI,0032A00002a2dSSQAY
0032A00002a2dZLQAY,0032A00002a2dSSQAY
0032A00002ayydpQAA,0032A00002a2dSSQAY
0032A00002az44FQAQ,0032A00002a2dSSQAY
0032A00002azmPjQAI,0032A00002a2dSSQAY
0032A00002azrdRQAQ,0032A00002ayzs5QAA
0032A00002azrTgQAI,0032A00002ayzs5QAA
0032A00002az1MWQAY,0032A00002ayzs5QAA
0032A00002azpQlQAI,0032A00002ayzs5QAA
0032A00002az1CRQAY,0032A00002az48rQAA
0032A00002ayynrQAA,0032A00002az201QAA
0032A00002az1YIQAY,0032A00002az201QAA
0032A00002az2iBQAQ,0032A00002az201QAA
0032A00002az3H5QAI,0032A00002az201QAA
0032A00002azmnhQAA,0032A00002az201QAA
0032A00002azoGbQAI,0032A00002az201QAA
0032A00002azqYPQAY,0032A00002az201QAA
0032A00002aznrMQAQ,0032A00002az201QAA
0032A00002az1w9QAA,0032A00002ayzfbQAA
0032A00002az3pdQAA,0032A00002ayzfbQAA
0032A00002aznsaQAA,0032A00002ayzfbQAA
0032A00002azndPQAQ,0032A00002az2nQQAQ
0032A00002ayynoQAA,0032A00002az2nQQAQ
0032A00002ayz4aQAA,0032A00002az2nQQAQ
0032A00002az21zQAA,0032A00002az2nQQAQ
0032A00002az4CAQAY,0032A00002az2nQQAQ
0032A00002azoTXQAY,0032A00002az2nQQAQ
0032A00002azr14QAA,0032A00002az2nQQAQ
0032A00002az4McQAI,0032A00002az2pdQAA
0032A00002azoxOQAQ,0032A00002az2pdQAA
0032A00002azqBuQAI,0032A00002az2pdQAA
0032A00002azrpzQAA,0032A00002az2pdQAA
0032A00002azo8jQAA,0032A00002az31pQAA
0032A00002azrUoQAI,0032A00002az31pQAA
0032A00002az3fAQAQ,0032A00002a2dV3QAI
0032A00002ayytaQAA,0032A00002a2dVXQAY
0032A00002ayzY2QAI,0032A00002a2dVXQAY
0032A00002ayztuQAA,0032A00002az4XYQAY
0032A00002az0CWQAY,0032A00002az4XYQAY
0032A00002az3CIQAY,0032A00002az4XYQAY
0032A00002az3UBQAY,0032A00002az4XYQAY
0032A00002az3mJQAQ,0032A00002az4XYQAY
0032A00002azqjwQAA,0032A00002az4XYQAY
0032A00002azrUIQAY,0032A00002az4XYQAY
0032A00002az02GQAQ,0032A00002az1K9QAI
0032A00002az1uEQAQ,0032A00002az1K9QAI
0032A00002azrWIQAY,0032A00002az1K9QAI
0032A00002azpTdQAI,0032A00002az1iaQAA
0032A00002azr4mQAA,0032A00002az1iaQAA
0032A00002azqETQAY,0032A00002az1iaQAA
0032A00002az0uCQAQ,0032A00002az3sgQAA
0032A00002az1G5QAI,0032A00002az3sgQAA
0032A00002az1HjQAI,0032A00002az3sgQAA
0032A00002az2ePQAQ,0032A00002az3sgQAA
0032A00002az34HQAQ,0032A00002az3sgQAA
0032A00002az4S7QAI,0032A00002az3sgQAA
0032A00002aznJ7QAI,0032A00002az3sgQAA
0032A00002aznrRQAQ,0032A00002az3sgQAA
0032A00002azpPTQAY,0032A00002az3sgQAA
0032A00002azqyIQAQ,0032A00002az3sgQAA
0032A00002azo8HQAQ,0032A00002azrM2QAI
0032A00002az4ZlQAI,0032A00002azrM2QAI
0032A00002azp3lQAA,0032A00002azrM2QAI
0032A00002azp9aQAA,0032A00002azrM2QAI
0032A00002azrHWQAY,0032A00002azrM2QAI
