Id,Clean_Status__c
003Rh000004b4zDIAQ,OK
003Rh000004b4zEIAQ,Delete
003Rh000004b4zFIAQ,Delete
003Rh000004b4zGIAQ,Delete
003Rh000004b4zHIAQ,Delete
003Rh000004b4zIIAQ,Delete
003Rh000004b4zJIAQ,Delete
003Rh000004b4zKIAQ,Delete
003Rh000004b4zLIAQ,Delete
003Rh000004b4zMIAQ,Delete
003Rh000004b4zNIAQ,Delete
003Rh000004b4zOIAQ,Delete
003Rh000004b4zPIAQ,Delete
003Rh000004b4zQIAQ,Delete
003Rh000004b4zRIAQ,Delete
003Rh000004b4zSIAQ,Duplicate
003Rh000004b4zTIAQ,Delete
003Rh000004b4zUIAQ,Delete
003Rh000004b4zVIAQ,Delete
003Rh000004b4zWIAQ,Delete
003Rh000004b4zXIAQ,Delete
003Rh000004b4zYIAQ,Duplicate
003Rh000004b4zZIAQ,Delete
003Rh000004b4zaIAA,Delete
003Rh000004b4zbIAA,Delete
003Rh000004b4zcIAA,Delete
003Rh000004b4zdIAA,Delete
003Rh000004b4zeIAA,Delete
003Rh000004b4zfIAA,Delete
003Rh000004b4zgIAA,Delete
003Rh000004b4zhIAA,Delete
003Rh000004b4ziIAA,Delete
003Rh000004b4zjIAA,Delete
003Rh000004b4zkIAA,Delete
003Rh000004b4zlIAA,Delete
003Rh000004b4zmIAA,Delete
003Rh000004b4znIAA,Delete
003Rh000004b4zoIAA,Delete
003Rh000004b4zpIAA,Delete
003Rh000004b4zqIAA,Delete
003Rh000004b4zrIAA,Delete
003Rh000004c2wBIAQ,Duplicate
003Rh000004cH2OIAU,OK
003Rh000004cKLDIA2,OK
003Rh000004cPfqIAE,OK
003Rh000004ckvfIAA,Duplicate
003Rh000004eQcbIAE,Duplicate
003Rh000004eQeDIAU,Delete
003Rh000004fXlhIAE,Duplicate
003Rh000004hXrFIAU,Duplicate
003Rh000004jdxNIAQ,Duplicate
003Rh000004kLMXIA2,OK
003Rh000004kqOtIAI,Delete
003Rh000004kqOuIAI,Delete
003Rh000004kqOvIAI,Delete
003Rh000004kqOwIAI,Delete
003Rh000004kqOxIAI,Delete
003Rh000004kqOyIAI,Delete
003Rh000004kqOzIAI,Delete
003Rh000004kqP0IAI,Delete
003Rh000004kqP1IAI,Delete
003Rh000004kqP2IAI,Delete
003Rh000004kqP3IAI,Delete
003Rh000004kqP4IAI,Delete
003Rh000004kqP5IAI,Duplicate
003Rh000004kqP6IAI,Delete
003Rh000004kqP7IAI,Delete
003Rh000004kqP8IAI,Delete
003Rh000004kqP9IAI,Delete
003Rh000004kqPBIAY,Delete
003Rh000004kqPDIAY,Delete
003Rh000004kqPEIAY,Delete
003Rh000004kqPFIAY,Delete
003Rh000004kqPGIAY,Delete
003Rh000004kqPHIAY,Delete
003Rh000004kqPIIAY,Delete
003Rh000004kqPJIAY,Delete
003Rh000004kqPKIAY,Delete
003Rh000004kqPLIAY,Delete
003Rh000004kqPMIAY,Delete
003Rh000004kqPNIAY,Delete
003Rh000004kqPOIAY,Delete
003Rh000004kqPPIAY,Delete
003Rh000004kqPQIAY,Delete
003Rh000004kqPRIAY,Delete
003Rh000004kqPSIAY,Duplicate
003Rh000004kqPTIAY,Delete
003Rh000004kqPUIAY,Delete
003Rh000004kwLFIAY,Delete
003Rh000004kwLGIAY,Delete
003Rh000004kwLHIAY,Delete
003Rh000004kwLIIAY,Delete
003Rh000004kwLJIAY,Delete
003Rh000004kwLKIAY,Delete
003Rh000004kwLLIAY,Delete
003Rh000004kwLMIAY,Delete
003Rh000004kwLNIAY,Delete
003Rh000004kwLPIAY,Delete
003Rh000004kwLQIAY,Delete
003Rh000004kwLRIAY,Duplicate
003Rh000004kwLTIAY,Delete
003Rh000004kwLUIAY,Delete
003Rh000004kwLVIAY,Delete
003Rh000004kwLWIAY,Delete
003Rh000004kwLXIAY,Delete
003Rh000004kwLZIAY,Delete
003Rh000004kwLaIAI,Delete
003Rh000004kwLbIAI,Delete
003Rh000004pOQkIAM,Delete
003Rh000004pOQlIAM,Delete
003Rh000004pOQmIAM,Delete
003Rh000004pOQnIAM,Delete
003Rh000004pOQoIAM,Delete
003Rh000004pOQpIAM,Delete
003Rh000004pOQqIAM,Delete
003Rh000004pOQrIAM,Delete
003Rh000004pOQsIAM,Delete
003Rh000004pOQtIAM,Delete
003Rh000004pOQuIAM,Delete
003Rh000004pOQvIAM,Delete
003Rh000004pOQxIAM,Delete
