Id,Clean_Status__c,Delete_Reason__c,Sync_Status__c
0032A00002ayzsZQAQ,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzsbQAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzsiQAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzspQAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzsrQAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzt5QAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzt8QAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayztZQAQ,Delete,No Activity 3+ Years,Not Synced
0032A00002ayztoQAA,Delete,No Email or Phone,Not Synced
0032A00002ayztpQAA,Delete,No Email or Phone,Not Synced
0032A00002ayztzQAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzuJQAQ,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzuKQAQ,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzuQQAQ,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzuRQAQ,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzuYQAQ,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzuhQAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzumQAA,Delete,No Email or Phone,Not Synced
0032A00002ayzutQAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzvMQAQ,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzvWQAQ,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzvbQAA,Delete,No Email or Phone,Not Synced
0032A00002ayzvvQAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzw1QAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzw4QAA,Delete,Inactive 3+ Years,Not Synced
0032A00002ayzwLQAQ,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzwWQAQ,Delete,No Email or Phone,Not Synced
0032A00002ayzwlQAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzwnQAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzwtQAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzwuQAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzxLQAQ,Delete,No Email or Phone,Not Synced
0032A00002ayzxPQAQ,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzxqQAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzxxQAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzy1QAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzy3QAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzy5QAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzy9QAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzyKQAQ,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzyTQAQ,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzyZQAQ,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzyvQAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzywQAA,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzzCQAQ,Delete,No Activity 3+ Years,Not Synced
0032A00002ayzzQQAQ,Delete,No Activity 3+ Years,Not Synced
