Id,Clean_Status__c,Delete_Reason__c,Sync_Status__c
0033j00003gUBPCAA4,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPDAA4,OK,,
0033j00003gUBPEAA4,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPFAA4,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPGAA4,OK,,
0033j00003gUBPHAA4,Duplicate,Master: 003Rh000000fG5jIAE,Not Synced
0033j00003gUBPIAA4,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPJAA4,OK,,
0033j00003gUBPKAA4,OK,,
0033j00003gUBPLAA4,OK,,
0033j00003gUBPNAA4,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPOAA4,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPPAA4,OK,,
0033j00003gUBPQAA4,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPRAA4,OK,,
0033j00003gUBPSAA4,OK,,
0033j00003gUBPTAA4,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPUAA4,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPVAA4,OK,,
0033j00003gUBPWAA4,OK,,
0033j00003gUBPXAA4,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPYAA4,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPZAA4,OK,,
0033j00003gUBPaAAO,OK,,
0033j00003gUBPbAAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPcAAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPdAAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPeAAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPfAAO,OK,,
0033j00003gUBPgAAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPhAAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPiAAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPjAAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPkAAO,OK,,
0033j00003gUBPlAAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPmAAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPnAAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPoAAO,OK,,
0033j00003gUBPpAAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPqAAO,OK,,
0033j00003gUBPrAAO,OK,,
0033j00003gUBPsAAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPtAAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPuAAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPvAAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPwAAO,OK,,
0033j00003gUBPxAAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBPyAAO,OK,,
0033j00003gUBPzAAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBQ0AAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBQ1AAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBQ2AAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBQ3AAO,OK,,
0033j00003gUBQ4AAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBQ5AAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBQ6AAO,OK,,
0033j00003gUBQ7AAO,OK,,
0033j00003gUBQ8AAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBQ9AAO,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBQAAA4,OK,,
0033j00003gUBQBAA4,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBQCAA4,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBQDAA4,OK,,
0033j00003gUBQEAA4,Delete,No Activity 3+ Years,Not Synced
0033j00003gUBQFAA4,Delete,No Activity 3+ Years,Not Synced
