Id,Clean_Status__c,Delete_Reason__c
0032A00002az37lQAA,OK,
0032A00002az37mQAA,Duplicate,Master: 0032A00002az2N9QAI
0032A00002az37nQAA,Delete,No Activity 3+ Years
0032A00002az37oQAA,Duplicate,Master: 0032A00002az0DuQAI
0032A00002az37pQAA,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az37qQAA,Duplicate,Master: 0032A00002azquWQAQ
0032A00002az37rQAA,Delete,No Activity 3+ Years
0032A00002az37sQAA,Delete,No Activity 3+ Years
0032A00002az37tQAA,Delete,No Activity 3+ Years
0032A00002az37uQAA,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az37vQAA,Delete,No Activity 3+ Years
0032A00002az37wQAA,Duplicate,Master: 0033j00003wP12GAAS
0032A00002az37xQAA,Duplicate,Master: 003Rh000002TibpIAC
0032A00002az37yQAA,Archive,Old Inactive Contact
0032A00002az37zQAA,Duplicate,Master: 0032A00002azmgwQAA
0032A00002az380QAA,Delete,No Activity 3+ Years
0032A00002az383QAA,Duplicate,Master: 0032A00002azow6QAA
0032A00002az384QAA,Duplicate,Master: 0033j00003wOdeJAAS
0032A00002az385QAA,Archive,Old Inactive Contact
0032A00002az386QAA,Delete,No Activity 3+ Years
0032A00002az387QAA,Archive,Old Inactive Contact
0032A00002az388QAA,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az389QAA,Delete,No Activity 3+ Years
0032A00002az38AQAQ,Delete,No Activity 3+ Years
0032A00002az38BQAQ,Delete,No Activity 3+ Years
0032A00002az38CQAQ,Duplicate,Master: 0032A00002az3rIQAQ
0032A00002az38DQAQ,Archive,Old Inactive Contact
0032A00002az38EQAQ,Archive,Old Inactive Contact
0032A00002az38FQAQ,Delete,No Activity 3+ Years
0032A00002az38GQAQ,Duplicate,Master: 0033j00003wPP7EAAW
0032A00002az38HQAQ,Delete,No Activity 3+ Years
0032A00002az38IQAQ,Duplicate,Master: 0032A00002az3f6QAA
0032A00002az38JQAQ,Delete,No Activity 3+ Years
0032A00002az38KQAQ,Duplicate,Master: 0033j00003wPM4VAAW
0032A00002az38LQAQ,Duplicate,Master: 0032A00002az0fMQAQ
0032A00002az38MQAQ,Delete,No Activity 3+ Years
0032A00002az38NQAQ,Duplicate,Master: 0033j00003wPOgNAAW
0032A00002az38OQAQ,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az38PQAQ,Archive,Old Inactive Contact
0032A00002az38QQAQ,Delete,No Activity 3+ Years
0032A00002az38RQAQ,OK,
0032A00002az38SQAQ,Delete,No Activity 3+ Years
0032A00002az38TQAQ,Delete,No Activity 3+ Years
0032A00002az38UQAQ,Archive,Old Inactive Contact
0032A00002az38VQAQ,OK,
0032A00002az38WQAQ,Archive,Old Inactive Contact
0032A00002az38XQAQ,Duplicate,Master: 0032A00002azptYQAQ
0032A00002az38YQAQ,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az38ZQAQ,OK,
0032A00002az38aQAA,Delete,No Email or Phone
0032A00002az38bQAA,Duplicate,Master: 0032A00002az3fcQAA
0032A00002az38cQAA,Duplicate,Master: 0032A00002az0WXQAY
0032A00002az38eQAA,Delete,No Activity 3+ Years
0032A00002az38fQAA,Archive,Old Inactive Contact
0032A00002az38gQAA,Archive,Old Inactive Contact
0032A00002az38hQAA,Delete,No Activity 3+ Years
0032A00002az38iQAA,OK,
0032A00002az38jQAA,Delete,No Activity 3+ Years
0032A00002az38lQAA,Delete,No Activity 3+ Years
0032A00002az38mQAA,OK,
0032A00002az38nQAA,Delete,No Activity 3+ Years
