Id,Clean_Status__c,Delete_Reason__c,Sync_Status__c
0033j00003q6jwIAAQ,Duplicate,Master: 003Rh000000fG5jIAE,Not Synced
0033j00003q6k26AAA,Duplicate,Master: 0033j00003wOuB4AAK,Not Synced
0033j00003q6k3dAAA,Delete,No Email or Phone,Not Synced
0033j00003q6k8iAAA,Duplicate,Master: 003Rh000000fG5jIAE,Not Synced
0033j00003q6kGrAAI,OK,,
0033j00003q6kOCAAY,OK,,
0033j00003q6lyMAAQ,Duplicate,Master: 0033j00004B1sR4AAJ,Not Synced
0033j00003q6mElAAI,Duplicate,Master: 003Rh000000fG5jIAE,Not Synced
0033j00003q6n1EAAQ,Delete,No Email or Phone,Not Synced
0033j00003q6pG4AAI,OK,,
0033j00003q6pTrAAI,Duplicate,Master: 0033j00003wPNgyAAG,Not Synced
0033j00003q6pruAAA,Duplicate,Master: 0032A00002azr9QQAQ,Not Synced
0033j00003q6q8CAAQ,OK,,
0033j00003q6qV2AAI,OK,,
0033j00003q6qemAAA,OK,,
0033j00003q6qgEAAQ,OK,,
0033j00003q6qqxAAA,Delete,No Activity 3+ Years,Not Synced
0033j00003q6qz6AAA,Duplicate,Master: 0033j00003wOZHyAAO,Not Synced
0033j00003q6r5TAAQ,Duplicate,Master: 0032A00002azpJiQAI,Not Synced
0033j00003q6r6RAAQ,OK,,
0033j00003q6r9VAAQ,OK,,
0033j00003q6rA4AAI,Duplicate,Master: 0032A00002az3wsQAA,Not Synced
0033j00003q6rAYAAY,Duplicate,Master: 0032A00002az2uwQAA,Not Synced
0033j00003q6tAYAAY,Delete,No Activity 3+ Years,Not Synced
0033j00003q6tGvAAI,Delete,No Activity 3+ Years,Not Synced
0033j00003q6tHjAAI,OK,,
0033j00003q6tMPAAY,OK,,
0033j00003q6tSrAAI,Duplicate,Master: 003Rh00000HybkUIAR,Not Synced
0033j00003q6tWAAAY,Delete,No Activity 3+ Years,Not Synced
0033j00003q6tX3AAI,Delete,No Activity 3+ Years,Not Synced
0033j00003q6u21AAA,Duplicate,Master: 003Rh000000fG5jIAE,Not Synced
0033j00003q6u5eAAA,OK,,
0033j00003q6u63AAA,Delete,No Activity 3+ Years,Not Synced
