Id,Clean_Status__c
0033j00002OEmu9AAD,OK
0033j00002OEoHhAAL,Archive
0033j00002OEpm9AAD,Duplicate
0033j00002OEpmYAAT,Archive
0033j00002OEpmdAAD,Delete
0033j00002OEpmsAAD,Delete
0033j00002OEpmtAAD,Delete
0033j00002OEpnMAAT,Delete
0033j00002OEpnWAAT,Delete
0033j00002OEpo5AAD,Delete
0033j00002OEpqpAAD,Delete
0033j00002OEptKAAT,OK
0033j00002OEpwnAAD,Archive
0033j00002OEpx2AAD,Delete
0033j00002OEpxCAAT,Archive
0033j00002OEpxvAAD,Duplicate
0033j00002OEpyZAAT,Delete
0033j00002OEpyyAAD,Delete
0033j00002OEq23AAD,Delete
0033j00002OEq2wAAD,Delete
0033j00002OEq5bAAD,Archive
0033j00002OEq6jAAD,Archive
0033j00002OEq8LAAT,Archive
0033j00002OEq8QAAT,Duplicate
0033j00002OEq8aAAD,Duplicate
0033j00002OErfSAAT,Delete
0033j00002OEri2AAD,Delete
0033j00002OErjeAAD,Delete
0033j00002OErt5AAD,Delete
0033j00002OErxqAAD,OK
0033j00002OEs3KAAT,Delete
0033j00002OEsKfAAL,Duplicate
0033j00002OEsMCAA1,Duplicate
0033j00002OEsNZAA1,Archive
0033j00002OEtB3AAL,Duplicate
0033j00002OEtHBAA1,OK
0033j00002OEtVgAAL,Delete
0033j00002OEtkqAAD,Duplicate
0033j00002OEtlKAAT,Archive
0033j00002OEtqPAAT,Archive
0033j00002OEtspAAD,Delete
0033j00002OEuCuAAL,Archive
0033j00002OEuDJAA1,Duplicate
0033j00002OEuFtAAL,Archive
0033j00002OEvOqAAL,Duplicate
0033j00002OEvV3AAL,Delete
0033j00002OEvYmAAL,Duplicate
0033j00002OEvmsAAD,Delete
0033j00002OEvn2AAD,Delete
0033j00002OEvr4AAD,Archive
0033j00002OEvsMAAT,Archive
0033j00002OEy3UAAT,Delete
0033j00002OEy3eAAD,Delete
0033j00002OEy3oAAD,Delete
0033j00002OEy5aAAD,Archive
0033j00002OEyFZAA1,Archive
0033j00002OEyP9AAL,Delete
0033j00002OEyPYAA1,Delete
0033j00002OEyS3AAL,Duplicate
0033j00002OEycgAAD,Duplicate
0033j00002OF0rqAAD,Archive
0033j00002OF0seAAD,Archive
0033j00002OF0uQAAT,Duplicate
0033j00002OF2AvAAL,Delete
0033j00002OF3QPAA1,Archive
0033j00003DLAeGAAX,Archive
0033j00003DLAnnAAH,Archive
0033j00003DLAxzAAH,Archive
0033j00003DLB0oAAH,Duplicate
0033j00003DLB5kAAH,OK
0033j00003DLB7MAAX,Archive
0033j00003DLBD6AAP,Archive
0033j00003DLBDBAA5,Archive
0033j00003DLBOaAAP,Delete
0033j00003DLCnJAAX,OK
0033j00003DLCtqAAH,Archive
0033j00003DLCu0AAH,OK
0033j00003DLDY8AAP,Delete
0033j00003DLDZQAA5,Delete
0033j00003DLDfJAAX,Archive
0033j00003DLQI2AAP,Delete
0033j00003DLQcOAAX,Archive
0033j00003DLQePAAX,Delete
0033j00003DLQg1AAH,Delete
0033j00003DLQtFAAX,Archive
0033j00003DLRe9AAH,Delete
0033j00003DLUIRAA5,Duplicate
0033j00003DLUZpAAP,Archive
0033j00003DLUiwAAH,OK
0033j00003DLevgAAD,Duplicate
0033j00003DLewtAAD,Duplicate
0033j00003DLexDAAT,OK
0033j00003DLf1QAAT,Duplicate
0033j00003DLf3RAAT,Archive
0033j00003DLf83AAD,Delete
0033j00003DLhLoAAL,Delete
0033j00003DLhNuAAL,OK
0033j00003DLhtfAAD,Duplicate
0033j00003DLhvqAAD,Archive
0033j00003DLiDrAAL,Archive
0033j00003DLnCeAAL,Duplicate
0033j00003DLzDIAA1,Delete
0033j00003DLzDmAAL,Delete
0033j00003DM17LAAT,Archive
0033j00003DMDDOAA5,Duplicate
0033j00003DMDvpAAH,Delete
0033j00003DMDwOAAX,Duplicate
0033j00003DMDyAAAX,Archive
0033j00003DMGqtAAH,Archive
0033j00003DMHR5AAP,Duplicate
0033j00003DMIODAA5,Archive
0033j00003DMLwzAAH,Archive
0033j00003DMLx4AAH,Archive
0033j00003DMMFgAAP,Duplicate
0033j00003DMN3iAAH,Archive
0033j00003DMNHVAA5,Duplicate
0033j00003DMNHpAAP,Archive
0033j00003DMNIxAAP,Delete
0033j00003DMNJbAAP,Archive
0033j00003DMNJqAAP,Archive
0033j00003DMNMqAAP,Delete
0033j00003DMNNjAAP,Delete
0033j00003DMNONAA5,Delete
0033j00003DMNSeAAP,Archive
0033j00003DMNYJAA5,Archive
0033j00003DMO6mAAH,Duplicate
0033j00003DMQm3AAH,OK
0033j00003DN022AAD,Archive
0033j00003DN2H9AAL,Delete
0033j00003DO1zIAAT,Duplicate
0033j00003DOyn3AAD,Delete
0033j00003DOyn8AAD,Archive
0033j00003DOzBBAA1,Duplicate
0033j00003DOzCOAA1,Delete
0033j00003DOzCYAA1,OK
0033j00003DOzCdAAL,OK
0033j00003DOzDCAA1,Delete
0033j00003DOzDbAAL,Archive
0033j00003DP0qEAAT,Archive
0033j00003DP0sjAAD,OK
0033j00003DP12jAAD,OK
0033j00003DP133AAD,Delete
0033j00003DP13cAAD,Delete
0033j00003DP154AAD,Archive
0033j00003DP15TAAT,Archive
0033j00003DP17oAAD,Duplicate
0033j00003DP18cAAD,Archive
0033j00003DP1SfAAL,Delete
0033j00003DP1TOAA1,Delete
0033j00003DP1U7AAL,Delete
0033j00003DP1WEAA1,Delete
0033j00003DP1XLAA1,Duplicate
0033j00003DP1a5AAD,Duplicate
0033j00003DP1bSAAT,Delete
0033j00003DP1zdAAD,Archive
0033j00003DP2BBAA1,Archive
0033j00003DP2BuAAL,OK
0033j00003DP2C9AAL,Duplicate
0033j00003DP2CJAA1,Archive
0033j00003DP2CnAAL,Archive
0033j00003DP2EFAA1,Archive
0033j00003DP2FNAA1,Duplicate
0033j00003DP3ZmAAL,Archive
0033j00003DP3ggAAD,OK
0033j00003DP3mKAAT,Duplicate
0033j00003DP4ggAAD,Delete
