Id,Clean_Status__c,Delete_Reason__c,Sync_Status__c
0032A00002Oa0FBQAZ,Delete,No Activity 3+ Years,Not Synced
0032A00002Oa0cjQAB,Delete,No Activity 3+ Years,Not Synced
0032A00002OvFZdQAN,Delete,No Activity 3+ Years,Not Synced
0032A00002OvIdtQAF,Delete,No Activity 3+ Years,Not Synced
0032A00002OvJ5nQAF,Archive,Old Inactive Contact,
0032A00002OvKY7QAN,Archive,Old Inactive Contact,
0032A00002OvYtlQAF,Delete,No Activity 3+ Years,Not Synced
0032A00002OvcTgQAJ,Delete,No Activity 3+ Years,Not Synced
0032A00002Ovoa4QAB,Archive,Old Inactive Contact,
0032A00002Ovp3uQAB,Delete,No Activity 3+ Years,Not Synced
0032A00002Ow8HTQAZ,Delete,No Activity 3+ Years,Not Synced
0032A00002OwAo5QAF,Duplicate,Master: 0032A00002azpmHQAQ,Not Synced
0032A00002OwBqvQAF,Archive,Old Inactive Contact,
0032A00002OxibLQAR,Delete,No Activity 3+ Years,Not Synced
0032A00002OxlvyQAB,Delete,No Activity 3+ Years,Not Synced
0032A00002OxyllQAB,Archive,Old Inactive Contact,
0032A00002OxynmQAB,OK,,
0032A00002Oxzp4QAB,Delete,No Activity 3+ Years,Not Synced
0032A00002Oy5TOQAZ,Archive,Old Inactive Contact,
0032A00002OyLukQAF,Delete,No Activity 3+ Years,Not Synced
0032A00002OyN0oQAF,Delete,No Activity 3+ Years,Not Synced
0032A00002OyNQDQA3,Archive,Old Inactive Contact,
0032A00002OyNsRQAV,Archive,Old Inactive Contact,
0032A00002OyPU2QAN,Delete,No Activity 3+ Years,Not Synced
0032A00002OyYfZQAV,Duplicate,Master: 003F000001ww2GJIAY,Not Synced
0032A00002OyZ7bQAF,Archive,Old Inactive Contact,
0032A00002Oyan4QAB,Archive,Old Inactive Contact,
0032A00002Oyz1OQAR,Archive,Old Inactive Contact,
0032A00002OyzIKQAZ,Archive,Old Inactive Contact,
0032A00002PTB42QAH,Archive,Old Inactive Contact,
0032A00002PTPK3QAP,Duplicate,Master: 0032A00002aIg1dQAC,Not Synced
0032A00002PTQHoQAP,Delete,No Email or Phone,Not Synced
0032A00002PTTWIQA5,Archive,Old Inactive Contact,
0032A00002PTUBpQAP,Delete,No Activity 3+ Years,Not Synced
0032A00002PTVORQA5,Duplicate,Master: 0032A00002XRQ64QAH,Not Synced
0032A00002PTVtnQAH,Delete,No Activity 3+ Years,Not Synced
0032A00002PTlE2QAL,Archive,Old Inactive Contact,
0032A00002PTo95QAD,Archive,Old Inactive Contact,
0032A00002PU2aKQAT,Archive,Old Inactive Contact,
0032A00002PU2p5QAD,Delete,No Activity 3+ Years,Not Synced
0032A00002PU2pPQAT,Delete,No Activity 3+ Years,Not Synced
0032A00002PU3PSQA1,Delete,No Activity 3+ Years,Not Synced
0032A00002PU4QMQA1,Archive,Old Inactive Contact,
0032A00002PU4XcQAL,Archive,Old Inactive Contact,
0032A00002PUAM6QAP,Delete,No Activity 3+ Years,Not Synced
0032A00002PUMOHQA5,Delete,No Activity 3+ Years,Not Synced
0032A00002PUNu0QAH,Delete,No Activity 3+ Years,Not Synced
0032A00002PUO3NQAX,Archive,Old Inactive Contact,
0032A00002PUPz2QAH,Delete,No Activity 3+ Years,Not Synced
0032A00002PURqbQAH,OK,,
0032A00002PV5xHQAT,Archive,Old Inactive Contact,
0032A00002PV6zJQAT,Delete,No Activity 3+ Years,Not Synced
0032A00002PV963QAD,Delete,No Activity 3+ Years,Not Synced
0032A00002PVAHRQA5,Delete,No Activity 3+ Years,Not Synced
0032A00002PVAJcQAP,Delete,No Activity 3+ Years,Not Synced
0032A00002PVBvIQAX,Archive,Old Inactive Contact,
0032A00002PVNf0QAH,Duplicate,Master: 0032A00002ayzBmQAI,Not Synced
0032A00002PVhUJQA1,Delete,No Activity 3+ Years,Not Synced
0032A00002PVmqZQAT,Delete,No Activity 3+ Years,Not Synced
0032A00002PVmrXQAT,Delete,No Activity 3+ Years,Not Synced
0032A00002PVyTGQA1,Archive,Old Inactive Contact,
0032A00002PVyYVQA1,Archive,Old Inactive Contact,
0032A00002PVya2QAD,Archive,Old Inactive Contact,
0032A00002PVyfHQAT,Archive,Old Inactive Contact,
0032A00002PVyloQAD,Archive,Old Inactive Contact,
0032A00002PVyuvQAD,Archive,Old Inactive Contact,
0032A00002PVyzqQAD,Delete,No Activity 3+ Years,Not Synced
0032A00002PVz1cQAD,Archive,Old Inactive Contact,
0032A00002PVz8FQAT,Delete,No Activity 3+ Years,Not Synced
0032A00002PVzK6QAL,Archive,Old Inactive Contact,
0032A00002PVzRHQA1,Archive,Old Inactive Contact,
0032A00002PVzUpQAL,Archive,Old Inactive Contact,
0032A00002PVzXtQAL,Archive,Old Inactive Contact,
0032A00002PW5oXQAT,OK,,
0032A00002PW6KUQA1,Delete,No Activity 3+ Years,Not Synced
0032A00002PW8HwQAL,Delete,No Activity 3+ Years,Not Synced
0032A00002PWKPwQAP,Archive,Old Inactive Contact,
0032A00002PWL3kQAH,Archive,Old Inactive Contact,
0032A00002PWQr1QAH,Archive,Old Inactive Contact,
0032A00002PWS30QAH,Delete,No Email or Phone,Not Synced
0032A00002PWTIfQAP,Duplicate,Master: 003Rh000000fG5jIAE,Not Synced
0032A00002QD2CoQAL,Delete,No Activity 3+ Years,Not Synced
0032A00002QD2O1QAL,Archive,Old Inactive Contact,
0032A00002QD2r9QAD,OK,,
0032A00002QD37kQAD,Delete,No Activity 3+ Years,Not Synced
0032A00002QD3G3QAL,Delete,No Activity 3+ Years,Not Synced
0032A00002QD3YqQAL,Archive,Old Inactive Contact,
0032A00002QD3drQAD,OK,,
0032A00002QD3hjQAD,Delete,No Activity 3+ Years,Not Synced
0032A00002QD3tFQAT,Delete,No Activity 3+ Years,Not Synced
0032A00002QD43tQAD,OK,,
0032A00002QD5QoQAL,Delete,No Activity 3+ Years,Not Synced
0032A00002QD5iOQAT,Archive,Old Inactive Contact,
0032A00002QD6dyQAD,Archive,Old Inactive Contact,
0032A00002QD7EGQA1,Archive,Old Inactive Contact,
0032A00002QD7U0QAL,Archive,Old Inactive Contact,
0032A00002QD7lVQAT,Delete,No Activity 3+ Years,Not Synced
0032A00002QD7pSQAT,Archive,Old Inactive Contact,
0032A00002QDM6DQAX,OK,,
0032A00002QDO5BQAX,Archive,Old Inactive Contact,
0032A00002QDP5YQAX,Archive,Old Inactive Contact,
0032A00002QDP6FQAX,Archive,Old Inactive Contact,
0032A00002QDPAcQAP,Archive,Old Inactive Contact,
0032A00002QDQWJQA5,Duplicate,Master: 0032A00002TyttrQAB,Not Synced
0032A00002QDRr4QAH,Delete,No Activity 3+ Years,Not Synced
0032A00002QDSqiQAH,Delete,No Activity 3+ Years,Not Synced
0032A00002QDgUiQAL,Delete,No Activity 3+ Years,Not Synced
0032A00002QDhCrQAL,OK,,
0032A00002QDhc6QAD,Archive,Old Inactive Contact,
0032A00002QDkZHQA1,Delete,No Activity 3+ Years,Not Synced
0032A00002QDlnFQAT,Delete,No Activity 3+ Years,Not Synced
0032A00002QDmtSQAT,Delete,No Activity 3+ Years,Not Synced
0032A00002QDx9fQAD,Delete,No Activity 3+ Years,Not Synced
0032A00002QDyLmQAL,Archive,Old Inactive Contact,
0032A00002QDyTIQA1,Duplicate,Master: 0032A00002az3CTQAY,Not Synced
0032A00002QDyiMQAT,Duplicate,Master: 003Rh000000fG5jIAE,Not Synced
0032A00002QE0i1QAD,Archive,Old Inactive Contact,
0032A00002QE0nkQAD,Archive,Old Inactive Contact,
0032A00002QE15UQAT,Archive,Old Inactive Contact,
0032A00002QE1NOQA1,Archive,Old Inactive Contact,
0032A00002QE1Y7QAL,OK,,
0032A00002QEFFWQA5,OK,,
0032A00002QEFM8QAP,Duplicate,Master: 0032A00002az34LQAQ,Not Synced
0032A00002QEFUHQA5,Duplicate,Master: 003Rh000000fG5jIAE,Not Synced
0032A00002QEFlwQAH,OK,,
0032A00002QEFndQAH,Archive,Old Inactive Contact,
0032A00002QEGHdQAP,Delete,No Activity 3+ Years,Not Synced
0032A00002QEGKmQAP,OK,,
0032A00002QEGqOQAX,Archive,Old Inactive Contact,
0032A00002QEK4rQAH,Delete,No Activity 3+ Years,Not Synced
0032A00002QEKCbQAP,Delete,No Activity 3+ Years,Not Synced
0032A00002QEMnKQAX,Archive,Old Inactive Contact,
0032A00002QEwdUQAT,Archive,Old Inactive Contact,
0032A00002QEyJXQA1,Archive,Old Inactive Contact,
0032A00002QF1NfQAL,Archive,Old Inactive Contact,
0032A00002QF1qNQAT,Archive,Old Inactive Contact,
0032A00002QF3bhQAD,Delete,No Activity 3+ Years,Not Synced
0032A00002QF4clQAD,Archive,Old Inactive Contact,
0032A00002QF4dKQAT,Delete,No Activity 3+ Years,Not Synced
0032A00002QFGXqQAP,Archive,Old Inactive Contact,
0032A00002QFH05QAH,Archive,Old Inactive Contact,
0032A00002QFHEWQA5,Archive,Old Inactive Contact,
0032A00002QFHaiQAH,Archive,Old Inactive Contact,
0032A00002QFIXQQA5,Archive,Old Inactive Contact,
0032A00002QFIrVQAX,Archive,Old Inactive Contact,
0032A00002QFKwVQAX,Delete,No Activity 3+ Years,Not Synced
0032A00002QFMZDQA5,Archive,Old Inactive Contact,
0032A00002QFNHjQAP,Delete,No Activity 3+ Years,Not Synced
0032A00002QFNp7QAH,Delete,No Activity 3+ Years,Not Synced
0032A00002QFOj4QAH,Archive,Old Inactive Contact,
0032A00002QFWlBQAX,Archive,Old Inactive Contact,
0032A00002QFXFBQA5,Archive,Old Inactive Contact,
0032A00002QFXTDQA5,Archive,Old Inactive Contact,
0032A00002QFYDQQA5,Archive,Old Inactive Contact,
0032A00002QFYGCQA5,Archive,Old Inactive Contact,
0032A00002QFYGSQA5,Archive,Old Inactive Contact,
0032A00002QFYHaQAP,Duplicate,Master: 0032A00002ayz9rQAA,Not Synced
0032A00002QFYfMQAX,Delete,No Activity 3+ Years,Not Synced
0032A00002QFZHNQA5,Archive,Old Inactive Contact,
0032A00002QFbxMQAT,Archive,Old Inactive Contact,
0032A00002QFcE3QAL,Duplicate,Master: 0032A00002az29gQAA,Not Synced
0032A00002QFdEYQA1,Delete,No Activity 3+ Years,Not Synced
0032A00002QFdnvQAD,Archive,Old Inactive Contact,
0032A00002QFf4JQAT,Archive,Old Inactive Contact,
0032A00002QFswMQAT,Archive,Old Inactive Contact,
0032A00002QFtDvQAL,Delete,No Activity 3+ Years,Not Synced
0032A00002QFtLpQAL,Delete,No Activity 3+ Years,Not Synced
0032A00002QFtOtQAL,Delete,No Activity 3+ Years,Not Synced
0032A00002QFvRPQA1,Archive,Old Inactive Contact,
0032A00002QFvsVQAT,Delete,No Activity 3+ Years,Not Synced
0032A00002QFvwrQAD,Archive,Old Inactive Contact,
0032A00002QFw4qQAD,Delete,No Activity 3+ Years,Not Synced
0032A00002QFw5FQAT,Archive,Old Inactive Contact,
0032A00002QFwTlQAL,Archive,Old Inactive Contact,
0032A00002QFxhXQAT,Duplicate,Master: 003Rh000000fG5jIAE,Not Synced
0032A00002QFyprQAD,Duplicate,Master: 0032A00002aznupQAA,Not Synced
0032A00002QFyvgQAD,Archive,Old Inactive Contact,
0032A00002QGAklQAH,Duplicate,Master: 003Rh000000fG5jIAE,Not Synced
0032A00002QGCprQAH,Archive,Old Inactive Contact,
0032A00002QGEoPQAX,Delete,No Activity 3+ Years,Not Synced
0032A00002QGnIYQA1,Archive,Old Inactive Contact,
0032A00002QGtU5QAL,Delete,No Activity 3+ Years,Not Synced
0032A00002QGuFBQA1,Archive,Old Inactive Contact,
0032A00002QGvWlQAL,Delete,No Activity 3+ Years,Not Synced
0032A00002QGvg2QAD,Delete,No Activity 3+ Years,Not Synced
0032A00002RDuWhQAL,Delete,No Activity 3+ Years,Not Synced
0032A00002RDuybQAD,Duplicate,Master: 003Rh00000LRyqTIAT,Not Synced
0032A00002RDvGpQAL,Duplicate,Master: 003Rh000000fG5jIAE,Not Synced
0032A00002RDvZcQAL,Archive,Old Inactive Contact,
0032A00002RDwfSQAT,Archive,Old Inactive Contact,
0032A00002RDxKaQAL,Archive,Old Inactive Contact,
0032A00002RE8PhQAL,Delete,No Activity 3+ Years,Not Synced
0032A00002RE8uHQAT,Delete,No Activity 3+ Years,Not Synced
0032A00002RE9fNQAT,OK,,
0032A00002RE9nfQAD,Delete,No Activity 3+ Years,Not Synced
0032A00002REA2pQAH,Archive,Old Inactive Contact,
0032A00002REB3FQAX,Delete,No Activity 3+ Years,Not Synced
0032A00002RECM3QAP,Archive,Old Inactive Contact,
0032A00002RECo2QAH,Archive,Old Inactive Contact,
0032A00002REDupQAH,Duplicate,Master: 0032A00002Zawf5QAB,Not Synced
0032A00002REF2oQAH,Archive,Old Inactive Contact,
