Id,Clean_Status__c,Delete_Reason__c,Sync_Status__c
003Rh000002yDXVIA2,Duplicate,Master: 003Rh000000fG5jIAE,Not Synced
003Rh000002yEwqIAE,Duplicate,Master: 0032A00002az0b3QAA,Not Synced
003Rh000002yIMJIA2,Duplicate,Master: 0032A00002az2o8QAA,Not Synced
003Rh000002yInYIAU,Duplicate,Master: 0032A00002az0b3QAA,Not Synced
003Rh000002yKpxIAE,Duplicate,Master: 003Rh000002yKqKIAU,Not Synced
003Rh000002yKpyIAE,Duplicate,Master: 003Rh000002yKqBIAU,Not Synced
003Rh000002yKpzIAE,Duplicate,Master: 0033j00003zjFFcAAM,Not Synced
003Rh000002yKq0IAE,OK,,
003Rh000002yKq1IAE,OK,,
003Rh000002yKq2IAE,OK,,
003Rh000002yKq3IAE,OK,,
003Rh000002yKq4IAE,Duplicate,Master: 003Rh00000SLFdRIAX,Not Synced
003Rh000002yKq5IAE,Duplicate,Master: 0032A00002az2ITQAY,Not Synced
003Rh000002yKq6IAE,Duplicate,Master: 003Rh000002yKq1IAE,Not Synced
003Rh000002yKq7IAE,Duplicate,Master: 003Rh000002yKqKIAU,Not Synced
003Rh000002yKq8IAE,Duplicate,Master: 003Rh000002yKqKIAU,Not Synced
003Rh000002yKq9IAE,Duplicate,Master: 003Rh000002yKqKIAU,Not Synced
003Rh000002yKqAIAU,Duplicate,Master: 003Rh000000fG5jIAE,Not Synced
003Rh000002yKqBIAU,OK,,
003Rh000002yKqCIAU,Duplicate,Master: 003Rh000002yKqKIAU,Not Synced
003Rh000002yKqDIAU,OK,,
003Rh000002yKqEIAU,Duplicate,Master: 003Rh000000fG5jIAE,Not Synced
003Rh000002yKqFIAU,Duplicate,Master: 003Rh000000fG5jIAE,Not Synced
003Rh000002yKqGIAU,Duplicate,Master: 0032A00002azqB0QAI,Not Synced
003Rh000002yKqHIAU,OK,,
003Rh000002yKqIIAU,Duplicate,Master: 003Rh000002yKqKIAU,Not Synced
003Rh000002yKqJIAU,Duplicate,Master: 003Rh000002yKqKIAU,Not Synced
003Rh000002yKqKIAU,OK,,
003Rh000002yKqLIAU,Duplicate,Master: 003Rh000002yKqKIAU,Not Synced
003Rh000002yKqMIAU,OK,,
003Rh000002yKqNIAU,Duplicate,Master: 003Rh000000fG5jIAE,Not Synced
003Rh000002yKqOIAU,Duplicate,Master: 003Rh000002yKq3IAE,Not Synced
003Rh000002yKqPIAU,Duplicate,Master: 003Rh000000fG5jIAE,Not Synced
003Rh000002yKqQIAU,Duplicate,Master: 003Rh000002yKqKIAU,Not Synced
003Rh000002yKqRIAU,OK,,
003Rh000002yKqSIAU,Duplicate,Master: 003Rh000000fG5jIAE,Not Synced
003Rh000002yKqTIAU,Duplicate,Master: 0033j00003wOrqsAAC,Not Synced
003Rh000002yKqUIAU,Duplicate,Master: 003Rh000002yKqKIAU,Not Synced
003Rh000002yKqVIAU,OK,,
003Rh000002yKqWIAU,Duplicate,Master: 003Rh000002yKq1IAE,Not Synced
003Rh000002yKqXIAU,Duplicate,Master: 0033j00003wOr5VAAS,Not Synced
003Rh000002yKqYIAU,Duplicate,Master: 003Rh000002q9U5IAI,Not Synced
003Rh000002yKqZIAU,Duplicate,Master: 003Rh000000fG5jIAE,Not Synced
003Rh000002yKqaIAE,Duplicate,Master: 003Rh000000fG5jIAE,Not Synced
