Id,Clean_Status__c,Delete_Reason__c,Sync_Status__c
0033j00003gTwJsAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwJtAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwJuAAK,OK,,
0033j00003gTwJvAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwJwAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwJxAAK,OK,,
0033j00003gTwJyAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwJzAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwK0AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwK1AAK,OK,,
0033j00003gTwK2AAK,OK,,
0033j00003gTwK3AAK,OK,,
0033j00003gTwK4AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwK5AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwK6AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwK7AAK,OK,,
0033j00003gTwK8AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwK9AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKAAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKBAA0,OK,,
0033j00003gTwKCAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKDAA0,OK,,
0033j00003gTwKEAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKFAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKGAA0,OK,,
0033j00003gTwKHAA0,OK,,
0033j00003gTwKIAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKJAA0,OK,,
0033j00003gTwKKAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKLAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKMAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKNAA0,OK,,
0033j00003gTwKOAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKPAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKQAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKRAA0,OK,,
0033j00003gTwKSAA0,OK,,
0033j00003gTwKTAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKUAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKVAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKWAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKXAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKYAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKZAA0,OK,,
0033j00003gTwKaAAK,OK,,
0033j00003gTwKbAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKcAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKdAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKeAAK,OK,,
0033j00003gTwKfAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKgAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKhAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKiAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKjAAK,OK,,
0033j00003gTwKkAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKlAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKmAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKnAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKoAAK,OK,,
0033j00003gTwKpAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKqAAK,OK,,
0033j00003gTwKrAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKsAAK,OK,,
0033j00003gTwKtAAK,OK,,
0033j00003gTwKuAAK,OK,,
0033j00003gTwKvAAK,OK,,
0033j00003gTwKwAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwKxAAK,OK,,
0033j00003gTwKyAAK,OK,,
0033j00003gTwKzAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwL0AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwL1AAK,OK,,
0033j00003gTwL2AAK,OK,,
0033j00003gTwL3AAK,OK,,
0033j00003gTwL4AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwL5AAK,OK,,
0033j00003gTwL6AAK,OK,,
0033j00003gTwL7AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwL8AAK,OK,,
0033j00003gTwL9AAK,OK,,
0033j00003gTwLAAA0,OK,,
0033j00003gTwLBAA0,OK,,
0033j00003gTwLCAA0,OK,,
0033j00003gTwLDAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwODAA0,OK,,
0033j00003gTwOEAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOFAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOGAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOHAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOIAA0,OK,,
0033j00003gTwOJAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOKAA0,OK,,
0033j00003gTwOLAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOMAA0,OK,,
0033j00003gTwONAA0,OK,,
0033j00003gTwOOAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOPAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOQAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwORAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOSAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOTAA0,OK,,
0033j00003gTwOUAA0,OK,,
0033j00003gTwOVAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOWAA0,OK,,
0033j00003gTwOXAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOYAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOZAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOaAAK,OK,,
0033j00003gTwObAAK,OK,,
0033j00003gTwOcAAK,OK,,
0033j00003gTwOdAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOeAAK,OK,,
0033j00003gTwOfAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOgAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOhAAK,OK,,
0033j00003gTwOiAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOjAAK,OK,,
0033j00003gTwOkAAK,OK,,
0033j00003gTwOlAAK,OK,,
0033j00003gTwOmAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOnAAK,OK,,
0033j00003gTwOoAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOpAAK,OK,,
0033j00003gTwOqAAK,Duplicate,Master: 0033j00003wOuG8AAK,Not Synced
0033j00003gTwOrAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOsAAK,Duplicate,Master: 0033j00003wOvTgAAK,Not Synced
0033j00003gTwOtAAK,OK,,
0033j00003gTwOuAAK,OK,,
0033j00003gTwOvAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOwAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOxAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOyAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwOzAAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwP0AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwP1AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwP2AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwP3AAK,OK,,
0033j00003gTwP4AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwP5AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwP6AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwP7AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwP8AAK,OK,,
0033j00003gTwP9AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwPAAA0,OK,,
0033j00003gTwPBAA0,OK,,
0033j00003gTwPCAA0,OK,,
0033j00003gTwPDAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwPEAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwPFAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwPGAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwPHAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwPIAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwPJAA0,OK,,
0033j00003gTwPKAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwPLAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwPMAA0,OK,,
0033j00003gTwPNAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003gTwPOAA0,OK,,
0033j00003gTwPPAA0,OK,,
0033j00003gTwPQAA0,OK,,
0033j00003gTwPRAA0,Delete,No Activity 3+ Years,Not Synced
