Id,Clean_Status__c,Delete_Reason__c,Sync_Status__c
0033j00003wOddFAAS,Duplicate,Master: 0033j00003wOddGAAS,Not Synced
0033j00003wOddGAAS,OK,,
0033j00003wOddHAAS,Duplicate,Master: 0033j00003wOddGAAS,Not Synced
0033j00003wOddIAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003wOddJAAS,Duplicate,Master: 0032A00002ayz0sQAA,Not Synced
0033j00003wOddKAAS,OK,,
0033j00003wOddLAAS,Duplicate,Master: 0032A00002ayz0sQAA,Not Synced
0033j00003wOddMAAS,OK,,
0033j00003wOddNAAS,OK,,
0033j00003wOddOAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003wOddPAAS,Duplicate,Master: 003Rh000000SL38IAG,Not Synced
0033j00003wOddQAAS,OK,,
0033j00003wOddRAAS,OK,,
0033j00003wOddSAAS,Duplicate,Master: 0032A00002az1Y7QAI,Not Synced
0033j00003wOddTAAS,Duplicate,Master: 0032A00002az1Y7QAI,Not Synced
0033j00003wOddUAAS,OK,,
0033j00003wOddVAAS,Duplicate,Master: 0032A00002az1Y7QAI,Not Synced
0033j00003wOddWAAS,OK,,
0033j00003wOddXAAS,OK,,
0033j00003wOddYAAS,OK,,
0033j00003wOddZAAS,OK,,
0033j00003wOddaAAC,Duplicate,Master: 0032A00002az1Y7QAI,Not Synced
0033j00003wOddbAAC,OK,,
0033j00003wOddcAAC,OK,,
0033j00003wOdddAAC,OK,,
0033j00003wOddeAAC,OK,,
0033j00003wOddfAAC,Duplicate,Master: 0032A00002az1Y7QAI,Not Synced
0033j00003wOddgAAC,Duplicate,Master: 0033j00003wPCztAAG,Not Synced
0033j00003wOddhAAC,Duplicate,Master: 0032A00002az1Y7QAI,Not Synced
0033j00003wOddiAAC,Duplicate,Master: 0032A00002az1Y7QAI,Not Synced
0033j00003wOddjAAC,OK,,
0033j00003wOddkAAC,OK,,
0033j00003wOddlAAC,OK,,
0033j00003wOddmAAC,OK,,
0033j00003wOddnAAC,OK,,
0033j00003wOddoAAC,OK,,
0033j00003wOddpAAC,Duplicate,Master: 0032A00002az1Y7QAI,Not Synced
0033j00003wOddqAAC,OK,,
0033j00003wOddrAAC,OK,,
0033j00003wOddsAAC,OK,,
0033j00003wOddtAAC,Duplicate,Master: 0032A00002az0ErQAI,Not Synced
0033j00003wOdduAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOddvAAC,OK,,
0033j00003wOddwAAC,OK,,
0033j00003wOddxAAC,OK,,
0033j00003wOddyAAC,OK,,
0033j00003wOddzAAC,OK,,
0033j00003wOde0AAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOde1AAC,Duplicate,Master: 0033j00003wOdeJAAS,Not Synced
0033j00003wOde2AAC,Duplicate,Master: 0033j00003wOdeJAAS,Not Synced
0033j00003wOde3AAC,Duplicate,Master: 0033j00003wOdeJAAS,Not Synced
0033j00003wOde4AAC,Duplicate,Master: 0033j00003wOdeJAAS,Not Synced
0033j00003wOde5AAC,Duplicate,Master: 0033j00003wOdeJAAS,Not Synced
0033j00003wOde6AAC,Duplicate,Master: 0033j00003wOdeJAAS,Not Synced
0033j00003wOde7AAC,Duplicate,Master: 0033j00003wOdeJAAS,Not Synced
0033j00003wOde8AAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOde9AAC,Duplicate,Master: 0033j00003wOdeJAAS,Not Synced
0033j00003wOdeAAAS,Duplicate,Master: 0033j00003wOdeJAAS,Not Synced
0033j00003wOdeBAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdeCAAS,Duplicate,Master: 0033j00003wOdeJAAS,Not Synced
0033j00003wOdeDAAS,OK,,
0033j00003wOdeEAAS,Duplicate,Master: 0033j00003wOdeJAAS,Not Synced
0033j00003wOdeFAAS,Duplicate,Master: 0033j00003wOdeJAAS,Not Synced
0033j00003wOdeGAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdeHAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdeIAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdeJAAS,OK,,
0033j00003wOdeKAAS,Duplicate,Master: 0033j00003wOdeJAAS,Not Synced
0033j00003wOdeLAAS,Duplicate,Master: 0033j00003wOdeJAAS,Not Synced
0033j00003wOdeMAAS,Duplicate,Master: 0032A00002az1LyQAI,Not Synced
0033j00003wOdeNAAS,Duplicate,Master: 0032A00002az1LyQAI,Not Synced
0033j00003wOdeOAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdePAAS,Duplicate,Master: 0033j00003wOdeRAAS,Not Synced
0033j00003wOdeQAAS,Duplicate,Master: 0033j00003wOdeRAAS,Not Synced
0033j00003wOdeRAAS,OK,,
0033j00003wOdeSAAS,Duplicate,Master: 0033j00003wOdeRAAS,Not Synced
0033j00003wOdeTAAS,Duplicate,Master: 0033j00003wOdeRAAS,Not Synced
0033j00003wOdeUAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdeVAAS,OK,,
0033j00003wOdeWAAS,OK,,
0033j00003wOdeXAAS,OK,,
0033j00003wOdeYAAS,Duplicate,Master: 0032A00002az47aQAA,Not Synced
0033j00003wOdeZAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdeaAAC,OK,,
0033j00003wOdebAAC,OK,,
0033j00003wOdecAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdedAAC,Duplicate,Master: 0032A00002az47aQAA,Not Synced
0033j00003wOdeeAAC,Duplicate,Master: 0033j00003gUE7uAAG,Not Synced
0033j00003wOdefAAC,OK,,
0033j00003wOdegAAC,Duplicate,Master: 0033j00003wOdeaAAC,Not Synced
0033j00003wOdehAAC,OK,,
0033j00003wOdeiAAC,Duplicate,Master: 0033j00003wOdehAAC,Not Synced
0033j00003wOdejAAC,OK,,
0033j00003wOdekAAC,Duplicate,Master: 0033j00003wOdejAAC,Not Synced
0033j00003wOdelAAC,OK,,
0033j00003wOdemAAC,Duplicate,Master: 0032A00002azr9hQAA,Not Synced
0033j00003wOdenAAC,Duplicate,Master: 0032A00002azr9hQAA,Not Synced
0033j00003wOdeoAAC,Duplicate,Master: 0032A00002azr9hQAA,Not Synced
0033j00003wOdepAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdeqAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOderAAC,Duplicate,Master: 0032A00002azr9hQAA,Not Synced
0033j00003wOdesAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdetAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdeuAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdevAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdewAAC,Duplicate,Master: 0032A00002az0RKQAY,Not Synced
0033j00003wOdexAAC,Duplicate,Master: 0032A00002az0RKQAY,Not Synced
0033j00003wOdeyAAC,Duplicate,Master: 0032A00002azmGCQAY,Not Synced
0033j00003wOdezAAC,OK,,
0033j00003wOdf0AAC,OK,,
0033j00003wOdf1AAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdf2AAC,OK,,
0033j00003wOdf3AAC,OK,,
0033j00003wOdf4AAC,Duplicate,Master: 0032A00002azmGCQAY,Not Synced
0033j00003wOdf5AAC,OK,,
0033j00003wOdi5AAC,OK,,
0033j00003wOdi6AAC,Duplicate,Master: 0032A00002azmGCQAY,Not Synced
0033j00003wOdi7AAC,OK,,
0033j00003wOdi8AAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdi9AAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdiAAAS,Duplicate,Master: 0033j00003wOdi5AAC,Not Synced
0033j00003wOdiBAAS,Duplicate,Master: 0032A00002azmGCQAY,Not Synced
0033j00003wOdiCAAS,OK,,
0033j00003wOdiDAAS,OK,,
0033j00003wOdiEAAS,Duplicate,Master: 0032A00002azmGCQAY,Not Synced
0033j00003wOdiFAAS,Duplicate,Master: 0032A00002azmGCQAY,Not Synced
0033j00003wOdiGAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdiHAAS,Duplicate,Master: 0032A00002azmGCQAY,Not Synced
0033j00003wOdiIAAS,Duplicate,Master: 0032A00002azmGCQAY,Not Synced
0033j00003wOdiJAAS,Duplicate,Master: 0032A00002azmGCQAY,Not Synced
0033j00003wOdiKAAS,OK,,
0033j00003wOdiLAAS,OK,,
0033j00003wOdiMAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdiNAAS,OK,,
0033j00003wOdiOAAS,Duplicate,Master: 0033j00003wOdiRAAS,Not Synced
0033j00003wOdiPAAS,Duplicate,Master: 0033j00003wOdiRAAS,Not Synced
0033j00003wOdiQAAS,OK,,
0033j00003wOdiRAAS,OK,,
0033j00003wOdiSAAS,Duplicate,Master: 0033j00003wOdiRAAS,Not Synced
0033j00003wOdiTAAS,Duplicate,Master: 0033j00003wOdiRAAS,Not Synced
0033j00003wOdiUAAS,Duplicate,Master: 0033j00003wOdiRAAS,Not Synced
0033j00003wOdiVAAS,Duplicate,Master: 0033j00003wOdiRAAS,Not Synced
0033j00003wOdiWAAS,Duplicate,Master: 0033j00003wOdiRAAS,Not Synced
0033j00003wOdiXAAS,Duplicate,Master: 0033j00003wOdiRAAS,Not Synced
0033j00003wOdiYAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdiZAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdiaAAC,OK,,
0033j00003wOdibAAC,Duplicate,Master: 0033j00003wOdiaAAC,Not Synced
0033j00003wOdicAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdidAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdieAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdifAAC,OK,,
0033j00003wOdigAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdihAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdiiAAC,OK,,
0033j00003wOdijAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdikAAC,OK,,
0033j00003wOdilAAC,OK,,
0033j00003wOdimAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdinAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdioAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdipAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdiqAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdirAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdisAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOditAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdiuAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdivAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdiwAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdixAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOdiyAAC,Duplicate,Master: 0032A00002azrgTQAQ,Not Synced
0033j00003wOdizAAC,Duplicate,Master: 0032A00002azrgTQAQ,Not Synced
0033j00003wOdj0AAC,Delete,No Activity 3+ Years,Not Synced
