Id,Clean_Status__c,Delete_Reason__c,Sync_Status__c
0033j00003wOq9XAAS,Duplicate,Master: 0033j00003Dsr7GAAR,Not Synced
0033j00003wOq9YAAS,Duplicate,Master: 0033j00003Dsr7GAAR,Not Synced
0033j00003wOq9ZAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003wOq9aAAC,OK,,
0033j00003wOq9bAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOq9cAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOq9dAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOq9eAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOq9fAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOq9gAAC,Duplicate,Master: 0032A00002azqRnQAI,Not Synced
0033j00003wOq9hAAC,Duplicate,Master: 0032A00002azqRnQAI,Not Synced
0033j00003wOq9iAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOq9jAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOq9kAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOq9lAAC,Duplicate,Master: 0032A00002azqRnQAI,Not Synced
0033j00003wOq9mAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOq9nAAC,Duplicate,Master: 0032A00002azqRnQAI,Not Synced
0033j00003wOq9oAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOq9pAAC,Duplicate,Master: 0032A00002azqRnQAI,Not Synced
0033j00003wOq9qAAC,OK,,
0033j00003wOq9rAAC,Duplicate,Master: 0032A00002azqRnQAI,Not Synced
0033j00003wOq9sAAC,Duplicate,Master: 0032A00002az2bxQAA,Not Synced
0033j00003wOq9tAAC,Duplicate,Master: 0033j00003wOqDIAA0,Not Synced
0033j00003wOq9uAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOq9vAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOq9wAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOq9xAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOq9yAAC,Duplicate,Master: 0032A00002az02YQAQ,Not Synced
0033j00003wOq9zAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003wOqA0AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003wOqA1AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003wOqA2AAK,Duplicate,Master: 0032A00002aznfKQAQ,Not Synced
0033j00003wOqA3AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003wOqA4AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003wOqA5AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003wOqA6AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003wOqA7AAK,OK,,
0033j00003wOqA8AAK,Duplicate,Master: 0033j00003wOqDIAA0,Not Synced
0033j00003wOqA9AAK,Delete,No Activity 3+ Years,Not Synced
0033j00003wOqAAAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003wOqABAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003wOqACAA0,Duplicate,Master: 0032A00002az02YQAQ,Not Synced
0033j00003wOqADAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003wOqAEAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003wOqAFAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003wOqAGAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003wOqAHAA0,OK,,
0033j00003wOqAIAA0,OK,,
0033j00003wOqAJAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003wOqDIAA0,OK,,
0033j00003wOqDJAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003wOqDKAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003wOqDLAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003wOqDNAA0,Duplicate,Master: 0032A00002az02YQAQ,Not Synced
0033j00003wOqDOAA0,OK,,
0033j00003wOqDPAA0,Delete,No Activity 3+ Years,Not Synced
0033j00003wOqDQAA0,Delete,No Activity 3+ Years,Not Synced
