Id,Clean_Status__c
0033j00003gTqnmAAC,OK
0033j00003gTqnnAAC,Delete
0033j00003gTqnoAAC,Delete
0033j00003gTqnpAAC,Delete
0033j00003gTqnqAAC,OK
0033j00003gTqnrAAC,Delete
0033j00003gTqnsAAC,OK
0033j00003gTqntAAC,OK
0033j00003gTqnuAAC,OK
0033j00003gTqnvAAC,Delete
0033j00003gTqnwAAC,Delete
0033j00003gTqnxAAC,Delete
0033j00003gTqnyAAC,Delete
0033j00003gTqnzAAC,OK
0033j00003gTqo0AAC,Delete
0033j00003gTqo1AAC,Delete
0033j00003gTqo2AAC,Delete
0033j00003gTqo3AAC,Delete
0033j00003gTqo4AAC,Delete
0033j00003gTqo5AAC,OK
0033j00003gTqo6AAC,OK
0033j00003gTqo7AAC,OK
0033j00003gTqo8AAC,OK
0033j00003gTqo9AAC,Delete
0033j00003gTqoAAAS,Delete
0033j00003gTqoBAAS,Delete
0033j00003gTqoCAAS,Delete
0033j00003gTqoDAAS,Delete
0033j00003gTqoEAAS,OK
0033j00003gTqoFAAS,Delete
0033j00003gTqoGAAS,Delete
0033j00003gTqoHAAS,Duplicate
0033j00003gTqoIAAS,OK
0033j00003gTqoJAAS,Delete
0033j00003gTqoKAAS,OK
0033j00003gTqoLAAS,Delete
0033j00003gTqoMAAS,Delete
0033j00003gTqoNAAS,Delete
0033j00003gTqoOAAS,Delete
0033j00003gTqoPAAS,Delete
0033j00003gTqoQAAS,Delete
0033j00003gTqoRAAS,Duplicate
0033j00003gTqoSAAS,OK
0033j00003gTqoTAAS,Delete
0033j00003gTqoUAAS,OK
0033j00003gTqoVAAS,OK
0033j00003gTqoWAAS,Delete
0033j00003gTqoXAAS,Delete
0033j00003gTqoYAAS,Delete
0033j00003gTqoZAAS,Delete
0033j00003gTqoaAAC,OK
0033j00003gTqobAAC,OK
0033j00003gTqocAAC,Delete
0033j00003gTqrOAAS,OK
0033j00003gTqrPAAS,Delete
0033j00003gTqrQAAS,Delete
0033j00003gTqrRAAS,OK
0033j00003gTqrSAAS,Delete
0033j00003gTqrTAAS,Delete
0033j00003gTqrUAAS,Delete
0033j00003gTqrVAAS,Delete
0033j00003gTqrWAAS,Delete
0033j00003gTqrXAAS,OK
0033j00003gTqrYAAS,OK
0033j00003gTqrZAAS,OK
0033j00003gTqraAAC,Delete
0033j00003gTqrbAAC,Delete
0033j00003gTqrcAAC,OK
0033j00003gTqrdAAC,OK
0033j00003gTqreAAC,Delete
0033j00003gTqrfAAC,OK
0033j00003gTqrgAAC,Delete
0033j00003gTqrhAAC,Delete
0033j00003gTqriAAC,OK
0033j00003gTqrjAAC,Delete
0033j00003gTqrkAAC,Delete
0033j00003gTqrlAAC,Delete
0033j00003gTqrmAAC,Delete
0033j00003gTqrnAAC,Delete
0033j00003gTqroAAC,Delete
0033j00003gTqrpAAC,Delete
0033j00003gTqrqAAC,OK
0033j00003gTqrrAAC,OK
0033j00003gTqrsAAC,OK
0033j00003gTqrtAAC,OK
0033j00003gTqruAAC,Delete
0033j00003gTqrvAAC,OK
0033j00003gTqrwAAC,OK
0033j00003gTqrxAAC,OK
0033j00003gTqryAAC,Delete
0033j00003gTqrzAAC,OK
0033j00003gTqs0AAC,Delete
0033j00003gTqs1AAC,Delete
0033j00003gTqs2AAC,OK
0033j00003gTqs3AAC,Delete
0033j00003gTqs4AAC,Delete
0033j00003gTqs5AAC,OK
0033j00003gTqs6AAC,Delete
0033j00003gTqs7AAC,Delete
0033j00003gTqs8AAC,OK
0033j00003gTqs9AAC,Delete
0033j00003gTqsAAAS,Delete
0033j00003gTqsBAAS,Delete
0033j00003gTqsCAAS,Delete
0033j00003gTqsDAAS,Delete
0033j00003gTqsEAAS,Delete
0033j00003gTqsFAAS,Delete
0033j00003gTqsGAAS,Delete
0033j00003gTqsHAAS,Delete
0033j00003gTqsIAAS,OK
0033j00003gTqsJAAS,Delete
0033j00003gTqsKAAS,OK
0033j00003gTqsLAAS,Delete
0033j00003gTqsMAAS,Delete
0033j00003gTqsNAAS,Duplicate
0033j00003gTqsOAAS,Delete
0033j00003gTqsPAAS,Delete
0033j00003gTqsQAAS,Delete
0033j00003gTqsRAAS,Delete
0033j00003gTqsSAAS,Delete
0033j00003gTqsTAAS,Delete
0033j00003gTqsUAAS,OK
0033j00003gTqsVAAS,OK
0033j00003gTqsWAAS,Delete
0033j00003gTqsXAAS,Delete
0033j00003gTqsYAAS,OK
0033j00003gTqsZAAS,OK
0033j00003gTqsaAAC,OK
0033j00003gTqsbAAC,Delete
0033j00003gTqscAAC,Delete
0033j00003gTqsdAAC,OK
0033j00003gTqseAAC,Delete
0033j00003gTqsfAAC,Delete
0033j00003gTqsgAAC,Delete
0033j00003gTqshAAC,Delete
0033j00003gTqsiAAC,Delete
0033j00003gTqsjAAC,Delete
0033j00003gTqskAAC,Duplicate
0033j00003gTqslAAC,OK
0033j00003gTqsmAAC,Delete
0033j00003gTqsnAAC,OK
0033j00003gTqsoAAC,OK
0033j00003gTqspAAC,Delete
0033j00003gTqsqAAC,OK
0033j00003gTqsrAAC,Delete
0033j00003gTqssAAC,OK
0033j00003gTqstAAC,Delete
0033j00003gTqsuAAC,Delete
0033j00003gTqsvAAC,Delete
0033j00003gTqswAAC,Delete
0033j00003gTqsxAAC,Delete
0033j00003gTqsyAAC,Delete
0033j00003gTqszAAC,Delete
0033j00003gTqt0AAC,OK
0033j00003gTqt1AAC,Delete
0033j00003gTqt2AAC,Delete
0033j00003gTqt3AAC,Delete
0033j00003gTqt4AAC,Delete
0033j00003gTqt5AAC,Delete
0033j00003gTqt6AAC,OK
0033j00003gTqt7AAC,OK
0033j00003gTqt8AAC,Delete
0033j00003gTqt9AAC,Delete
0033j00003gTqtAAAS,Delete
0033j00003gTqtBAAS,Delete
0033j00003gTqtCAAS,OK
0033j00003gTqtDAAS,Delete
0033j00003gTqtEAAS,Delete
0033j00003gTqtFAAS,Duplicate
0033j00003gTqtGAAS,OK
0033j00003gTqtHAAS,Delete
0033j00003gTqtIAAS,Delete
0033j00003gTqtJAAS,OK
0033j00003gTqtKAAS,OK
0033j00003gTqtLAAS,OK
0033j00003gTqtMAAS,Delete
0033j00003gTqtNAAS,Delete
0033j00003gTqtOAAS,OK
0033j00003gTqtPAAS,OK
0033j00003gTqtQAAS,Delete
0033j00003gTqtRAAS,Delete
0033j00003gTqtSAAS,Delete
0033j00003gTqtTAAS,Delete
0033j00003gTqtUAAS,Duplicate
0033j00003gTqtVAAS,OK
0033j00003gTqtWAAS,OK
0033j00003gTqtXAAS,Delete
0033j00003gTqtYAAS,Delete
0033j00003gTqtZAAS,OK
0033j00003gTqtaAAC,Delete
0033j00003gTqtbAAC,OK
0033j00003gTqtcAAC,Delete
0033j00003gTqtdAAC,Delete
0033j00003gTqteAAC,OK
0033j00003gTqtfAAC,OK
0033j00003gTqtgAAC,Delete
0033j00003gTqthAAC,Delete
0033j00003gTqtiAAC,Delete
0033j00003gTqtjAAC,OK
0033j00003gTqtkAAC,OK
0033j00003gTqtlAAC,Delete
0033j00003gTqtmAAC,Delete
0033j00003gTqtnAAC,Delete
0033j00003gTqtoAAC,OK
0033j00003gTqtpAAC,Delete
0033j00003gTqtqAAC,Delete
0033j00003gTqtrAAC,OK
0033j00003gTqtsAAC,Delete
0033j00003gTqttAAC,OK
0033j00003gTqtuAAC,OK
0033j00003gTqtvAAC,Delete
0033j00003gTqtwAAC,OK
0033j00003gTqtxAAC,Duplicate
0033j00003gTqtyAAC,Delete
0033j00003gTqtzAAC,Delete
0033j00003gTqu0AAC,Delete
0033j00003gTqu1AAC,Delete
0033j00003gTqu2AAC,OK
0033j00003gTqu3AAC,Delete
0033j00003gTqu4AAC,Delete
0033j00003gTqu5AAC,Delete
0033j00003gTqu6AAC,Delete
0033j00003gTqu7AAC,OK
0033j00003gTqu8AAC,Delete
0033j00003gTqx8AAC,OK
0033j00003gTqx9AAC,Delete
0033j00003gTqxAAAS,OK
0033j00003gTqxBAAS,OK
0033j00003gTqxCAAS,OK
0033j00003gTqxDAAS,Delete
0033j00003gTqxEAAS,OK
0033j00003gTqxFAAS,OK
0033j00003gTqxGAAS,Delete
0033j00003gTqxHAAS,Delete
0033j00003gTqxIAAS,OK
0033j00003gTqxJAAS,Delete
0033j00003gTqxKAAS,Delete
0033j00003gTqxLAAS,OK
0033j00003gTqxMAAS,Delete
0033j00003gTqxNAAS,Delete
0033j00003gTqxOAAS,OK
0033j00003gTqxPAAS,Delete
0033j00003gTqxQAAS,Delete
0033j00003gTqxRAAS,Delete
0033j00003gTqxSAAS,OK
0033j00003gTqxTAAS,OK
0033j00003gTqxUAAS,Delete
0033j00003gTqxVAAS,OK
0033j00003gTqxWAAS,OK
0033j00003gTqxXAAS,Delete
0033j00003gTqxYAAS,Delete
0033j00003gTqxZAAS,Delete
0033j00003gTqxaAAC,Delete
0033j00003gTqxbAAC,Delete
0033j00003gTqxcAAC,Delete
0033j00003gTqxdAAC,Delete
0033j00003gTqxeAAC,OK
0033j00003gTqxfAAC,Duplicate
0033j00003gTqxgAAC,Delete
0033j00003gTqxhAAC,Delete
0033j00003gTqxiAAC,OK
0033j00003gTqxjAAC,OK
0033j00003gTqxkAAC,OK
0033j00003gTqxlAAC,Delete
0033j00003gTqxmAAC,Delete
0033j00003gTqxnAAC,Delete
0033j00003gTqxoAAC,OK
0033j00003gTqxpAAC,Duplicate
0033j00003gTqxqAAC,Delete
0033j00003gTqxrAAC,Delete
0033j00003gTqxsAAC,Delete
0033j00003gTqxtAAC,Delete
0033j00003gTqxuAAC,Delete
0033j00003gTqxvAAC,Duplicate
0033j00003gTqxwAAC,Delete
0033j00003gTqxxAAC,OK
0033j00003gTqxyAAC,Delete
0033j00003gTqxzAAC,Delete
0033j00003gTqy0AAC,Delete
0033j00003gTqy1AAC,Delete
0033j00003gTqy2AAC,OK
0033j00003gTqy3AAC,Delete
0033j00003gTqy4AAC,Delete
0033j00003gTqy5AAC,Delete
0033j00003gTqy6AAC,OK
0033j00003gTqy7AAC,Delete
0033j00003gTqy8AAC,Duplicate
0033j00003gTqy9AAC,OK
0033j00003gTqyAAAS,OK
0033j00003gTqyBAAS,Delete
0033j00003gTqyCAAS,Delete
0033j00003gTqyDAAS,Delete
0033j00003gTqyEAAS,OK
0033j00003gTqyFAAS,Delete
0033j00003gTqyGAAS,Delete
0033j00003gTqyHAAS,Delete
0033j00003gTqyIAAS,Delete
0033j00003gTqyJAAS,OK
0033j00003gTqyKAAS,OK
0033j00003gTqyLAAS,OK
0033j00003gTqyMAAS,OK
0033j00003gTqyNAAS,OK
0033j00003gTqyOAAS,Delete
0033j00003gTqyPAAS,Delete
0033j00003gTqyQAAS,Delete
0033j00003gTqyRAAS,Delete
0033j00003gTqySAAS,Delete
0033j00003gTqyTAAS,Delete
0033j00003gTqyUAAS,Delete
0033j00003gTqyVAAS,Delete
0033j00003gTqyWAAS,Delete
0033j00003gTqyXAAS,Delete
0033j00003gTqyYAAS,Delete
0033j00003gTqyZAAS,OK
0033j00003gTqyaAAC,OK
0033j00003gTqybAAC,Delete
