Id,Clean_Status__c,Delete_Reason__c
0032A00002az0EvQAI,Archive,Old Inactive Contact
0032A00002az0ExQAI,Archive,Old Inactive Contact
0032A00002az0EyQAI,Archive,Old Inactive Contact
0032A00002az0EzQAI,Delete,No Activity 3+ Years
0032A00002az0F0QAI,Delete,No Activity 3+ Years
0032A00002az0F1QAI,Delete,No Activity 3+ Years
0032A00002az0F2QAI,Duplicate,Master: 0033j00003wOqDIAA0
0032A00002az0F3QAI,Archive,Old Inactive Contact
0032A00002az0F4QAI,Duplicate,Master: 003Rh0000043KJGIA2
0032A00002az0F5QAI,Duplicate,Master: 0033j00003wOwcLAAS
0032A00002az0F6QAI,OK,
0032A00002az0F7QAI,Delete,No Activity 3+ Years
0032A00002az0F8QAI,Archive,Old Inactive Contact
0032A00002az0F9QAI,Delete,No Activity 3+ Years
0032A00002az0FAQAY,Delete,No Activity 3+ Years
0032A00002az0FBQAY,OK,
0032A00002az0FCQAY,Delete,No Activity 3+ Years
0032A00002az0FDQAY,Archive,Old Inactive Contact
0032A00002az0FEQAY,Archive,Old Inactive Contact
0032A00002az0FFQAY,Delete,No Activity 3+ Years
0032A00002az0FGQAY,Delete,No Activity 3+ Years
0032A00002az0FHQAY,Duplicate,Master: 003Rh00000LayQIIAZ
0032A00002az0FIQAY,Archive,Old Inactive Contact
0032A00002az0FJQAY,Archive,Old Inactive Contact
0032A00002az0FKQAY,Duplicate,Master: 0032A00002azpQ8QAI
0032A00002az0FLQAY,Archive,Old Inactive Contact
0032A00002az0FMQAY,Archive,Old Inactive Contact
0032A00002az0FNQAY,Delete,No Activity 3+ Years
0032A00002az0FOQAY,Archive,Old Inactive Contact
0032A00002az0FPQAY,Archive,Old Inactive Contact
0032A00002az0FQQAY,Delete,No Activity 3+ Years
0032A00002az0FRQAY,Duplicate,Master: 0033j00003wOWp5AAG
0032A00002az0FSQAY,Delete,No Activity 3+ Years
0032A00002az0FTQAY,Duplicate,Master: 003Rh00000LSOZyIAP
0032A00002az0FUQAY,Archive,Old Inactive Contact
0032A00002az0FVQAY,Archive,Old Inactive Contact
0032A00002az0FWQAY,Delete,No Activity 3+ Years
0032A00002az0FXQAY,Archive,Old Inactive Contact
0032A00002az0FYQAY,Archive,Old Inactive Contact
0032A00002az0FZQAY,Delete,No Activity 3+ Years
0032A00002az0FaQAI,Delete,No Activity 3+ Years
0032A00002az0FbQAI,Delete,No Email or Phone
0032A00002az0FcQAI,Delete,No Activity 3+ Years
0032A00002az0FdQAI,Archive,Old Inactive Contact
0032A00002az0FeQAI,Duplicate,Master: 0033j000049GfOSAA0
0032A00002az0FfQAI,Duplicate,Master: 0032A00002ayzSeQAI
0032A00002az0FgQAI,Delete,No Activity 3+ Years
0032A00002az0FhQAI,Delete,No Activity 3+ Years
0032A00002az0FiQAI,Archive,Old Inactive Contact
0032A00002az0FjQAI,Archive,Old Inactive Contact
0032A00002az0FkQAI,Delete,No Activity 3+ Years
0032A00002az0FlQAI,Delete,No Activity 3+ Years
0032A00002az0FmQAI,Delete,No Activity 3+ Years
0032A00002az0FnQAI,Delete,No Activity 3+ Years
0032A00002az0FoQAI,Archive,Old Inactive Contact
0032A00002az0FpQAI,Duplicate,Master: 0032A00002az2lBQAQ
0032A00002az0FqQAI,Archive,Old Inactive Contact
0032A00002az0FrQAI,Archive,Old Inactive Contact
0032A00002az0FsQAI,Delete,No Activity 3+ Years
0032A00002az0FtQAI,Archive,Old Inactive Contact
0032A00002az0FvQAI,OK,
0032A00002az0FwQAI,Archive,Old Inactive Contact
0032A00002az0FxQAI,Delete,No Activity 3+ Years
0032A00002az0FyQAI,Archive,Old Inactive Contact
0032A00002az0FzQAI,OK,
0032A00002az0G0QAI,Delete,No Activity 3+ Years
0032A00002az0G1QAI,Delete,No Activity 3+ Years
0032A00002az0G2QAI,Archive,Old Inactive Contact
0032A00002az0G3QAI,Delete,No Activity 3+ Years
0032A00002az0G4QAI,Delete,No Activity 3+ Years
0032A00002az0G5QAI,Delete,No Activity 3+ Years
0032A00002az0G6QAI,Delete,No Activity 3+ Years
0032A00002az0G7QAI,Duplicate,Master: 0033j00003q4wTlAAI
0032A00002az0G8QAI,Archive,Old Inactive Contact
0032A00002az0G9QAI,OK,
0032A00002az0GAQAY,Delete,No Activity 3+ Years
0032A00002az0GBQAY,Delete,No Activity 3+ Years
