Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
0032A00002a2fKIQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fKMQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fKNQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fKTQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fKUQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fKXQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fKZQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fKfQAI,Archive,Old Inactive Contact,false,Not Synced
0032A00002a2fKlQAI,Archive,Old Inactive Contact,false,Not Synced
0032A00002a2fKqQAI,Archive,Old Inactive Contact,false,Not Synced
0032A00002a2fKsQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fKzQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fL2QAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fLBQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fLQQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fLSQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fLaQAI,Archive,Old Inactive Contact,false,Not Synced
0032A00002a2fLkQAI,Archive,Old Inactive Contact,false,Not Synced
0032A00002a2fLoQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fLsQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fLtQAI,Archive,Old Inactive Contact,false,Not Synced
0032A00002a2fM1QAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fM5QAI,Archive,Old Inactive Contact,false,Not Synced
0032A00002a2fMGQAY,OK,,false,Not Synced
0032A00002a2fMJQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fMMQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fMNQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fMQQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fMRQAY,OK,,false,Not Synced
0032A00002a2fMSQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fMhQAI,Archive,Old Inactive Contact,false,Not Synced
0032A00002a2fMnQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fMvQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fMxQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fN3QAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fN9QAI,Archive,Old Inactive Contact,false,Not Synced
0032A00002a2fNCQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fNJQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fNPQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fNSQAY,Archive,Old Inactive Contact,false,Not Synced
0032A00002a2fNZQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fNmQAI,Archive,Old Inactive Contact,false,Not Synced
0032A00002a2fNwQAI,Archive,Old Inactive Contact,false,Not Synced
0032A00002a2fO7QAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fOOQAY,Archive,Old Inactive Contact,false,Not Synced
0032A00002a2fORQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fOTQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fOXQAY,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fOpQAI,Archive,Old Inactive Contact,false,Not Synced
0032A00002a2fOuQAI,Delete,No Activity 3+ Years,false,Not Synced
0032A00002a2fOxQAI,Delete,No Activity 3+ Years,false,Not Synced
