Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
0032A00002Tt2hfQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Tt2maQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Tt37dQAB,OK,,false,Not Synced
0032A00002Tt6O6QAJ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Tt7UkQAJ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Tt8PVQAZ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002TtAn5QAF,Archive,Old Inactive Contact,false,Not Synced
0032A00002TtBKiQAN,Archive,Old Inactive Contact,false,Not Synced
0032A00002TtIm2QAF,Archive,Old Inactive Contact,false,Not Synced
0032A00002TtJF9QAN,Delete,No Activity 3+ Years,false,Not Synced
0032A00002TtT3JQAV,Archive,Old Inactive Contact,false,Not Synced
0032A00002TtTc4QAF,OK,,false,Not Synced
0032A00002TtUGoQAN,Archive,Old Inactive Contact,false,Not Synced
0032A00002TtWYkQAN,Delete,No Activity 3+ Years,false,Not Synced
0032A00002TtYtaQAF,Archive,Old Inactive Contact,false,Not Synced
0032A00002TtZF2QAN,Archive,Old Inactive Contact,false,Not Synced
0032A00002TtaYeQAJ,OK,,false,Not Synced
0032A00002TtaeDQAR,Archive,Old Inactive Contact,false,Not Synced
0032A00002Ttb0JQAR,Duplicate,Master: 0032A00002Za2OrQAJ,false,Not Synced
0032A00002TtbQvQAJ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002TtkEoQAJ,Archive,Old Inactive Contact,false,Not Synced
0032A00002TtnFGQAZ,OK,,false,Not Synced
0032A00002TtprPQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002TtrE5QAJ,OK,,false,Not Synced
0032A00002TtsmIQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Ttt5UQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002TtvWrQAJ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002TtvkKQAR,Archive,Old Inactive Contact,false,Not Synced
0032A00002Tu4aJQAR,Archive,Old Inactive Contact,false,Not Synced
0032A00002TuE1zQAF,OK,,false,Not Synced
0032A00002TuJ0oQAF,Archive,Old Inactive Contact,false,Not Synced
0032A00002TuLS8QAN,Delete,No Activity 3+ Years,false,Not Synced
0032A00002TuMrKQAV,Archive,Old Inactive Contact,false,Not Synced
0032A00002TuNhzQAF,Archive,Old Inactive Contact,false,Not Synced
0032A00002TuO1FQAV,Archive,Old Inactive Contact,false,Not Synced
0032A00002TuO74QAF,Archive,Old Inactive Contact,false,Not Synced
0032A00002TuOFlQAN,Archive,Old Inactive Contact,false,Not Synced
0032A00002TuV88QAF,OK,,false,Not Synced
0032A00002TuWKLQA3,OK,,false,Not Synced
0032A00002TuWoKQAV,Delete,No Email or Phone,false,Not Synced
0032A00002TuYJtQAN,Delete,No Activity 3+ Years,false,Not Synced
0032A00002TubiWQAR,OK,,false,Not Synced
0032A00002TvPktQAF,OK,,false,Not Synced
0032A00002TvkjoQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002TvksGQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002TvnxVQAR,Archive,Old Inactive Contact,false,Not Synced
0032A00002TvpkyQAB,Delete,No Email or Phone,false,Not Synced
0032A00002TvwLSQAZ,Archive,Old Inactive Contact,false,Not Synced
0032A00002TvyqaQAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002TvytYQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002TvyzhQAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002Tw0C8QAJ,Archive,Old Inactive Contact,false,Not Synced
0032A00002Tw0unQAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002Tw0zEQAR,Archive,Old Inactive Contact,false,Not Synced
0032A00002Tw1h6QAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002Tw5ErQAJ,Archive,Old Inactive Contact,false,Not Synced
0032A00002TwSkBQAV,Delete,No Activity 3+ Years,false,Not Synced
0032A00002TwTdBQAV,Delete,No Activity 3+ Years,false,Not Synced
0032A00002TwUFKQA3,Archive,Old Inactive Contact,false,Not Synced
0032A00002TwUblQAF,Delete,No Activity 3+ Years,false,Not Synced
