Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
0032A00002XzvI5QAJ,OK,,false,Not Synced
0032A00002XzvfTQAR,Archive,Old Inactive Contact,false,Not Synced
0032A00002XzvyMQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Xzw8kQAB,Duplicate,Master: 0032A00002TSDgUQAX,false,Not Synced
0032A00002XzxxAQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002XzyZnQAJ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002XzyiLQAR,Archive,Old Inactive Contact,false,Not Synced
0032A00002Xzz9RQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y0gv4QAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y0iWJQAZ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y0ladQAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y0mNBQAZ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y0tKOQAZ,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y0wogQAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y0wtMQAR,OK,,false,Not Synced
0032A00002Y11VHQAZ,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y1MIVQA3,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y1OSwQAN,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y1PK0QAN,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y1PWyQAN,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y1Pg9QAF,Duplicate,Master: 0032A00002Y2rZ7QAJ,false,Not Synced
0032A00002Y1ST8QAN,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y1USqQAN,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y1e4jQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y2N9nQAF,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y2ibQQAR,OK,,false,Not Synced
0032A00002Y2nHmQAJ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y2ny2QAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y2o6pQAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y2otXQAR,OK,,false,Not Synced
0032A00002Y2pkHQAR,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y2ponQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y2qAeQAJ,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y2qKLQAZ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y2rALQAZ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y2rZ7QAJ,OK,,false,Not Synced
0032A00002Y2trvQAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y2uRoQAJ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y2v84QAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y2vMqQAJ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y2ziLQAR,OK,,false,Not Synced
0032A00002Y31kRQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y324wQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y32g6QAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y34NLQAZ,OK,,false,Not Synced
0032A00002Y34w6QAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y3S0AQAV,OK,,false,Not Synced
0032A00002Y3V46QAF,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y7lyZQAR,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y7nSQQAZ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y7qZUQAZ,OK,,false,Not Synced
0032A00002Y7qfOQAR,OK,,false,Not Synced
0032A00002Y7skKQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y82AEQAZ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y82QvQAJ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y82tiQAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y84RxQAJ,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y84fLQAR,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y85cIQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y8G8CQAV,OK,,false,Not Synced
0032A00002Y8PiTQAV,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y8WkwQAF,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y8Y6eQAF,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y8Y6yQAF,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y8YYNQA3,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y8Z7hQAF,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y8ZagQAF,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y8ZlmQAF,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y8a0DQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y8bDwQAJ,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y8bEMQAZ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y8bb1QAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y8bp2QAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y8dXKQAZ,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y8hkrQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y8kPSQAZ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y8q28QAB,OK,,false,Not Synced
0032A00002Y8rTyQAJ,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y8sSUQAZ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y9EELQA3,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y9EoYQAV,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y9IScQAN,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y9NHFQA3,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y9P98QAF,OK,,false,Not Synced
0032A00002Y9PouQAF,OK,,false,Not Synced
0032A00002Y9TU5QAN,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y9X3SQAV,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y9XMFQA3,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Y9ulrQAB,OK,,false,Not Synced
0032A00002Y9yvSQAR,Delete,No Activity 3+ Years,false,Not Synced
