Id,Clean_Status__c,Delete_Reason__c,Sync_Status__c
0033j00004B1pPTAAZ,Duplicate,Master: 0033j00004B1pPcAAJ,Not Synced
0033j00004B1pPUAAZ,Duplicate,Master: 0033j00004B1pPcAAJ,Not Synced
0033j00004B1pPVAAZ,Duplicate,Master: 0033j00004B1pPcAAJ,Not Synced
0033j00004B1pPbAAJ,Duplicate,Master: 0033j00004B1pPcAAJ,Not Synced
0033j00004B1pPcAAJ,OK,,
0033j00004B1pPdAAJ,Duplicate,Master: 0033j00004B1pPoAAJ,Not Synced
0033j00004B1pPoAAJ,OK,,
0033j00004B1pPtAAJ,OK,,
0033j00004B1pPwAAJ,OK,,
0033j00004B1pPzAAJ,Duplicate,Master: 0033j00004B1pPwAAJ,Not Synced
0033j00004B1pQ0AAJ,Duplicate,Master: 0033j00004B1pPwAAJ,Not Synced
0033j00004B1pQ1AAJ,Duplicate,Master: 0033j00004B1pQBAAZ,Not Synced
0033j00004B1pQ3AAJ,Duplicate,Master: 0033j00004B1pQBAAZ,Not Synced
0033j00004B1pQ4AAJ,Duplicate,Master: 0033j00004B1pQBAAZ,Not Synced
0033j00004B1pQ6AAJ,Duplicate,Master: 0033j00004B1pQBAAZ,Not Synced
0033j00004B1pQ7AAJ,Duplicate,Master: 0033j00004B1pQBAAZ,Not Synced
0033j00004B1pQ8AAJ,Duplicate,Master: 0033j00004B1pQBAAZ,Not Synced
0033j00004B1pQ9AAJ,Duplicate,Master: 0033j00004B1pQBAAZ,Not Synced
0033j00004B1pQAAAZ,Duplicate,Master: 0033j00004B1pQBAAZ,Not Synced
0033j00004B1pQBAAZ,OK,,
0033j00004B1pQCAAZ,Duplicate,Master: 0033j00004B1pQBAAZ,Not Synced
0033j00004B1pQDAAZ,Duplicate,Master: 0033j00004B1pQBAAZ,Not Synced
0033j00004B1pQEAAZ,Duplicate,Master: 0033j00004B1pQBAAZ,Not Synced
0033j00004B1pQFAAZ,Duplicate,Master: 0033j00004B1pQBAAZ,Not Synced
0033j00004B1pQGAAZ,Duplicate,Master: 0033j00004B1pQBAAZ,Not Synced
0033j00004B1pQHAAZ,Duplicate,Master: 0033j00004B1pQIAAZ,Not Synced
0033j00004B1pQIAAZ,OK,,
0033j00004B1pQLAAZ,Duplicate,Master: 0033j00004B1pQSAAZ,Not Synced
0033j00004B1pQMAAZ,Duplicate,Master: 0033j00004B1pQSAAZ,Not Synced
0033j00004B1pQNAAZ,Duplicate,Master: 0033j00004B1pQSAAZ,Not Synced
0033j00004B1pQPAAZ,Duplicate,Master: 0033j00004B1pQSAAZ,Not Synced
0033j00004B1pQSAAZ,OK,,
0033j00004B1pQjAAJ,OK,,
0033j00004B1pQkAAJ,Duplicate,Master: 0033j00004B1pQjAAJ,Not Synced
0033j00004B1pQlAAJ,Duplicate,Master: 0033j00004B1pQjAAJ,Not Synced
0033j00004B1pQnAAJ,OK,,
0033j00004B1pQoAAJ,Duplicate,Master: 0033j00004B1pQnAAJ,Not Synced
0033j00004B1pQqAAJ,OK,,
0033j00004B1pSYAAZ,Delete,No Email or Phone,Not Synced
0033j00004B1pSaAAJ,Duplicate,Master: 0033j00004B1pQqAAJ,Not Synced
0033j00004B1pScAAJ,Duplicate,Master: 0033j00004B1pQqAAJ,Not Synced
0033j00004B1pSdAAJ,Duplicate,Master: 0033j00004B1pQqAAJ,Not Synced
0033j00004B1pShAAJ,OK,,
0033j00004B1pSjAAJ,Duplicate,Master: 0033j00004B1pShAAJ,Not Synced
0033j00004B1pSlAAJ,Duplicate,Master: 0033j00004B1pT6AAJ,Not Synced
0033j00004B1pSuAAJ,Duplicate,Master: 0033j00004B1pT6AAJ,Not Synced
0033j00004B1pT1AAJ,Duplicate,Master: 0033j00004B1pT6AAJ,Not Synced
0033j00004B1pT4AAJ,Duplicate,Master: 0033j00004B1pT6AAJ,Not Synced
0033j00004B1pT5AAJ,Duplicate,Master: 0033j00004B1pT6AAJ,Not Synced
0033j00004B1pT6AAJ,OK,,
0033j00004B1pTHAAZ,OK,,
0033j00004B1pTIAAZ,Duplicate,Master: 0033j00004B1pTHAAZ,Not Synced
0033j00004B1pTOAAZ,OK,,
0033j00004B1pTQAAZ,Duplicate,Master: 0033j00004B1pTOAAZ,Not Synced
0033j00004B1pTRAAZ,Duplicate,Master: 0033j00004B1pTOAAZ,Not Synced
0033j00004B1pTTAAZ,Duplicate,Master: 0033j00004B1pTOAAZ,Not Synced
0033j00004B1pTYAAZ,OK,,
0033j00004B1pTaAAJ,Duplicate,Master: 0033j00004B1pTdAAJ,Not Synced
0033j00004B1pTbAAJ,Duplicate,Master: 0033j00004B1pTdAAJ,Not Synced
0033j00004B1pTcAAJ,Duplicate,Master: 0033j00004B1pTdAAJ,Not Synced
0033j00004B1pTdAAJ,OK,,
0033j00004B1pTgAAJ,Duplicate,Master: 0033j00004B1pTdAAJ,Not Synced
0033j00004B1pTjAAJ,Duplicate,Master: 0033j00004B1pTdAAJ,Not Synced
0033j00004B1pTnAAJ,OK,,
0033j00004B1pToAAJ,Duplicate,Master: 0033j00004B1pTnAAJ,Not Synced
0033j00004B1pTsAAJ,Duplicate,Master: 0033j00004B1pU4AAJ,Not Synced
0033j00004B1pTvAAJ,Duplicate,Master: 0033j00004B1pU4AAJ,Not Synced
0033j00004B1pTwAAJ,Duplicate,Master: 0033j00004B1pU4AAJ,Not Synced
0033j00004B1pTxAAJ,Duplicate,Master: 0033j00004B1pU4AAJ,Not Synced
0033j00004B1pU0AAJ,Duplicate,Master: 0033j00004B1pU4AAJ,Not Synced
0033j00004B1pU1AAJ,Duplicate,Master: 0033j00004B1pU4AAJ,Not Synced
0033j00004B1pU3AAJ,Duplicate,Master: 0033j00004B1pU4AAJ,Not Synced
0033j00004B1pU4AAJ,OK,,
0033j00004B1pVyAAJ,Duplicate,Master: 0033j00004B1pU4AAJ,Not Synced
0033j00004B1pW2AAJ,Duplicate,Master: 0033j00004B1pU4AAJ,Not Synced
0033j00004B1pW8AAJ,OK,,
0033j00004B1pW9AAJ,OK,,
0033j00004B1pWAAAZ,Duplicate,Master: 0033j00004B1pW9AAJ,Not Synced
0033j00004B1pWCAAZ,Duplicate,Master: 0033j00004B1pW9AAJ,Not Synced
0033j00004B1pWDAAZ,Duplicate,Master: 0033j00004B1pW9AAJ,Not Synced
0033j00004B1pWEAAZ,Duplicate,Master: 0033j00004B1pW9AAJ,Not Synced
0033j00004B1pWGAAZ,Duplicate,Master: 0033j00004B1pWHAAZ,Not Synced
0033j00004B1pWHAAZ,OK,,
0033j00004B1pWcAAJ,OK,,
0033j00004B1pWdAAJ,Duplicate,Master: 0033j00004B1pWcAAJ,Not Synced
0033j00004B1pWhAAJ,Duplicate,Master: 0033j00004B1pWiAAJ,Not Synced
0033j00004B1pWiAAJ,OK,,
0033j00004B1pWkAAJ,Duplicate,Master: 0033j00004B1pWpAAJ,Not Synced
0033j00004B1pWlAAJ,Duplicate,Master: 0033j00004B1pWpAAJ,Not Synced
0033j00004B1pWpAAJ,OK,,
0033j00004B1pWqAAJ,Duplicate,Master: 0033j00004B1pWrAAJ,Not Synced
0033j00004B1pWrAAJ,OK,,
0033j00004B1pWsAAJ,Duplicate,Master: 0033j00004B1pWrAAJ,Not Synced
0033j00004B1pWtAAJ,Duplicate,Master: 0033j00004B1pWrAAJ,Not Synced
0033j00004B1pWuAAJ,Duplicate,Master: 0033j00004B1pWrAAJ,Not Synced
0033j00004B1pWvAAJ,Duplicate,Master: 0033j00004B1pWrAAJ,Not Synced
0033j00004B1pWwAAJ,Duplicate,Master: 0033j00004B1pWrAAJ,Not Synced
0033j00004B1pWyAAJ,Duplicate,Master: 0033j00004B1pWrAAJ,Not Synced
0033j00004B1pX3AAJ,Duplicate,Master: 0033j00004B1pWrAAJ,Not Synced
0033j00004B1pX5AAJ,Duplicate,Master: 0033j00004B1pWrAAJ,Not Synced
0033j00004B1pX6AAJ,Duplicate,Master: 0033j00004B1pWrAAJ,Not Synced
0033j00004B1pX7AAJ,Duplicate,Master: 0033j00004B1pXAAAZ,Not Synced
0033j00004B1pX8AAJ,Duplicate,Master: 0033j00004B1pXAAAZ,Not Synced
0033j00004B1pXAAAZ,OK,,
0033j00004B1pXEAAZ,Duplicate,Master: 0033j00004B1pXSAAZ,Not Synced
0033j00004B1pXHAAZ,Duplicate,Master: 0033j00004B1pXSAAZ,Not Synced
0033j00004B1pXIAAZ,Duplicate,Master: 0033j00004B1pXSAAZ,Not Synced
0033j00004B1pXJAAZ,Duplicate,Master: 0033j00004B1pXSAAZ,Not Synced
0033j00004B1pXKAAZ,Duplicate,Master: 0033j00004B1pXSAAZ,Not Synced
0033j00004B1pXLAAZ,Duplicate,Master: 0033j00004B1pXSAAZ,Not Synced
0033j00004B1pXOAAZ,Duplicate,Master: 0033j00004B1pXSAAZ,Not Synced
0033j00004B1pXPAAZ,Duplicate,Master: 0033j00004B1pXSAAZ,Not Synced
0033j00004B1pXQAAZ,OK,,
0033j00004B1pXSAAZ,OK,,
0033j00004B1pXUAAZ,Duplicate,Master: 0033j00004B1pXSAAZ,Not Synced
